"","Building Address","Year Built"
"276","350 PARNASSUS AVE",1968
"277","333 BRYANT ST",1920
"278","685 MARKET ST",1906
"279","1825 POST ST",1967
"280","1089 MARKET ST",1920
"281","1360 MISSION ST",0
"282","425 BUSH ST",1908
"283","250 STOCKTON ST",1908
"284","2707 PINE ST",1969
"285","2031 IRVING ST",1950
"286","376 BRANNAN ST",1908
"287","1188 FRANKLIN ST",1973
"288","600 Fillmore St",1906
"289","120 KEARNY",1982
"290","625 MONTEREY BLVD",1942
"291","2741 16TH ST",1942
"292","540 9TH ST",1945
"293","998 INDIANA ST",1960
"294","863 BUSH ST",1911
"295","250 Broadway",1920
"296","245 MARKET STREET",1929
"297","2090 EVANS ST.",1956
"298","1530 BUCHANAN ST",1935
"299","136-138 KING ST",2017
"300","2600 MISSION ST",1920
"301","435 BRANNAN ST",1910
"302","635 PINE ST",1924
"303","660 3RD ST",1902
"304","450 HARRISON ST",1949
"305","1 MARKET ST",1917
"306","57 POST ST",1909
"307","825 MARKET ST",1908
"308","300 Gaven St",1960
"309","342 Columbus Ave",1908
"310","845 MARKET ST",2006
"311","650 HARRISON ST",1940
"312","235 MONTGOMERY ST",1927
"313","3600 GEARY BLVD",1923
"314","53 BLUXOME ST",1917
"315","150 GREEN ST",1919
"316","352 OCEAN AVE",1921
"317","505 SANSOME ST",1981
"318","25 14TH ST",1924
"319","1278 INDIANA ST",2004
"320","1095 MARKET ST",1905
"321","5815 3RD ST",1925
"322","658 MISSION ST",1906
"323","1300 BRYANT ST",1962
"324","2395 Golden Gate Ave",1921
"325","620 4TH ST",1907
"326","445 HAMPSHIRE ST",1924
"327","1409 SUTTER ST",1881
"328","256 FRONT ST",2000
"329","2000 VAN NESS AVE",1909
"330","5 EMBARCADERO CENTER",1972
"331","425 BRANNAN ST",1924
"332","184 Hooper St",2008
"333","100 HARRISON ST",1942
"334","730 POLK ST",1922
"335","1095 Hyde",1961
"336","507 POLK ST",1910
"337","1315 EGBERT AVE",1985
"338","3250 VAN NESS AVE",0
"339","201 ALABAMA ST",0
"340","417 31ST AVE",1922
"341","1683 GALVEZ AVE",1993
"342","470 COLUMBUS AVE",1936
"343","415 OFARRELL ST",1908
"344","201 FILBERT ST",1984
"345","901 CALIFORNIA ST",1971
"346","415 MISSION ST",2018
"347","139 TOWNSEND ST",1909
"348","1400 16TH ST",1938
"349","1675 HOWARD ST",1905
"350","633 HOWARD ST",1910
"351","700 TOLAND ST.",1968
"352","2 HENRY ADAMS ST",1915
"353","2550 VAN NESS AVE",1959
"354","3101 3RD ST",1985
"355","1600 TENNESSEE ST",1965
"356","240 KEARNY ST",1906
"357","601 GRANT AVE",1907
"358","1100 OAK ST",1983
"359","847 SANSOME ST",1983
"360","2900 ALEMANY BLVD",1961
"361","1800 SUTTER ST",1975
"362","2 EMBARCADERO CENTER",1974
"363","149 9TH ST",1923
"364","212 STOCKTON ST",1987
"365","343 SANSOME ST",1991
"366","281 Masonic Ave",1911
"367","130 BUSH ST",1910
"368","1083 MARKET ST",1912
"369","1878 HAIGHT ST.",1961
"370","442 POST ST",1925
"371","410 BUSH ST",1915
"372","2850 ALEMANY BLVD",0
"373","340 STOCKTON ST",1984
"374","10 GEARY ST",1907
"375","1355 FAIRFAX AVE",1987
"376","132 GEARY ST",1908
"377","790 ELLIS ST",0
"378","550 3RD ST",1921
"379","4840 MISSION ST",1925
"380","750 BATTERY ST",1986
"381","3050 23RD ST",1964
"382","455 MARKET ST",1900
"383","1585 FOLSOM ST",1926
"384","8 MISSION ST",2004
"385","1745 FOLSOM ST",1942
"386","205 2ND ST",1906
"387","1500 OWENS ST",2009
"388","530 BUSH ST",1982
"389","900 KEARNY ST",1989
"390","529 COMMERCIAL ST",0
"391","750 MARKET ST",1908
"392","1230 MARKET ST",1907
"393","2120 Polk St",1928
"394","455 9TH ST",1924
"395","1595 VAN NESS AVE",1913
"396","345 CALIFORNIA ST",1987
"397","690 POTRERO AVE",1932
"398","350 BRANNAN ST",1929
"399","660 CALIFORNIA ST",1966
"400","1300 COLUMBUS AVE",1970
"401","1160 BATTERY ST",1982
"402","1200 MISSISSIPPI ST",1986
"403","2600 16TH ST",2001
"404","525 HARRISON ST",1982
"405","501 POST STREET",1970
"406","925 STOCKTON ST",1907
"407","490 2ND ST",1924
"408","737 BEACH ST",1948
"409","386 GEARY ST",1909
"410","2835 GEARY BLVD",1981
"411","536 MISSION ST",0
"412","145 NATOMA ST",1971
"413","2300 SUTTER ST",1965
"414","180 TOWNSEND ST",1900
"415","99 BATTERY ST",1908
"416","17 BLUXOME ST",0
"417","5290 DIAMOND HEIGHTS BLVD",1964
"418","1444 MARKET ST",1913
"419","420 SUTTER ST",1909
"420","1234 INDIANA ST",1969
"421","215 FREMONT ST",1928
"422","43 COLUMBIA SQUARE ST",0
"423","120 MONTGOMERY ST",1955
"424","3000 16TH ST",1910
"425","201 POST ST",1909
"426","60 SPEAR ST",1967
"427","150 EXECUTIVE PARK BLVD",1982
"428","114 SANSOME ST",1908
"429","233 POST ST",1908
"430","475 BRANNAN ST",1908
"431","1528 PINE ST",1922
"432","141 INDUSTRIAL ST",1960
"433","151 3RD ST",2015
"434","285 WINSTON DR",1988
"435","650 5TH ST",1924
"436","116 NATOMA ST",1910
"437","1301 SANSOME ST",1907
"438","1275 FAIRFAX AVE",1986
"439","491 POST ST",1913
"440","1750 CESAR CHAVEZ",1986
"441","1050 SANSOME ST",1906
"442","350 RHODE ISLAND ST - SOUTH",2002
"443","3001 TARAVAL ST",1946
"444","364 BUSH ST",1907
"445","1875 MARIN ST",2003
"446","255 CALIFORNIA ST",1958
"447","4 EMBARCADERO CENTER",1979
"448","55 FRANCISCO ST",0
"449","3700 GEARY BLVD",1900
"450","1334 STOCKTON ST",1907
"451","19 STOCKTON ST",1910
"452","1025 MARKET ST.",0
"453","149 BLUXOME ST",1916
"454","260 TOWNSEND ST",1986
"455","535 MISSION ST",2014
"456","455 FRANKLIN ST",1983
"457","1019 CLEMENT ST",1919
"458","835 HOWARD ST",1907
"459","942 MISSION ST",1929
"460","44 GOUGH ST",1906
"461","100 CALIFORNIA ST",1959
"462","500 TERRY FRANCOIS BLVD",2008
"463","982 MARKET ST",0
"464","3905 SACRAMENTO ST",1960
"465","1200 VAN NESS AVE",1911
"466","533 SUTTER ST",1921
"467","2055 FOLSOM ST",1980
"468","425 NORTH POINT ST",1990
"469","2700 3RD ST",1970
"470","601 EDDY ST",1956
"471","323 PACIFIC AVE",1907
"472","1600 DONNER AVE",1962
"473","101 WILLIAMS AVE",1946
"474","3140 MISSION ST",1929
"475","40 JESSIE ST",1913
"476","649 GREEN ST",1907
"477","4041 GEARY BLVD",1947
"478","299 SECOND STREET",1900
"479","195 ERIE ST",1953
"480","111 TOWNSEND ST",1911
"481","405 HOWARD ST",2003
"482","655 BEACH ST",1973
"483","325 BROADWAY",1921
"484","574 PACIFIC AVE",1907
"485","1990 OCEAN AVE",1930
"486","2 CONNECTICUT ST",1922
