Building Address	Year Built	analysis_neighborhood	supervisor_district
530 CHESTNUT ST	2001	North Beach	3
111 PINE ST	1963	Financial District/South Beach	3
425 CALIFORNIA ST	1968	Financial District/South Beach	3
355 OCEAN AVE	1968	Outer Mission	11
3175 17TH ST	1926	Mission	9
785 MARKET ST	1907	Financial District/South Beach	6
816 WASHINGTON ST	1907	Chinatown	3
1355 SUTTER ST	1975	Western Addition	2
827 HYDE ST	1907	Nob Hill	3
4645 Mission St	1922	Excelsior	11
218 STOCKTON ST	1908	Financial District/South Beach	3
355 SUTTER ST	1910	Financial District/South Beach	3
85 West Portal Ave.	1925	West of Twin Peaks	7
429 CASTRO ST	1922	Castro/Upper Market	8
300 PINE ST	1909	Financial District/South Beach	3
420 BERRY ST	2007	Mission Bay	6
1195 INGALLS ST	1996	Bayview Hunters Point	10
133 SHIPLEY ST	1973	South of Market	6
433 CALIFORNIA ST	1913	Financial District/South Beach	3
500 ALEMANY BLVD	NA	Bernal Heights	9
2075 FOLSOM ST	1969	Mission	9
88 TOWNSEND ST	2004	Financial District/South Beach	6
1555 Union St	1955	Marina	2
350 FRIEDELL ST	NA	Bayview Hunters Point	10
88 Broadway	NA	Financial District/South Beach	3
5235 DIAMOND HEIGHTS BLVD	1972	Noe Valley	8
2 GARCES DR	1942	Lakeshore	7
350 RHODE ISLAND - NORTH	2002	Mission Bay	10
333 Harrison ST	NA	Financial District/South Beach	6
1960 FOLSOM ST	1937	Mission	9
558 SACRAMENTO ST	1907	Chinatown	3
1200 FILLMORE ST	1973	Western Addition	5
2443 FILLMORE ST	1924	Pacific Heights	2
259 POST ST	1909	Financial District/South Beach	3
4435 3RD ST	2003	Bayview Hunters Point	10
433 TURK ST	1907	Tenderloin	5
3220 SACRAMENTO ST	1924	Presidio Heights	2
255 WOODSIDE AV	NA	Twin Peaks	7
274 BRANNAN ST	1923	Financial District/South Beach	6
300 3RD ST	1990	South of Market	6
755 Ocean Ave	1955	Oceanview/Merced/Ingleside	11
501 BUCKINGHAM WAY	1948	Lakeshore	4
