Building Address	Year Built	analysis_neighborhood	supervisor_district
400 2ND ST	1917	Financial District/South Beach	6
234 STOCKTON ST	1908	Financial District/South Beach	3
74 OTIS ST	1916	Mission	6
380 10TH ST	2004	South of Market	6
2111 HYDE ST	1923	Russian Hill	3
1320 VAN NESS AVE	1909	Nob Hill	3
330 TOWNSEND ST	1985	South of Market	6
3490 SACRAMENTO ST	1977	Presidio Heights	2
5550 BARTLETT ST	NA	Mission	9
108 Catalina St	NA	Bayview Hunters Point	10
40 GOLD ST	1910	Chinatown	3
1150 SACRAMENTO ST	1989	Nob Hill	3
309 FONT BLVD	1942	Lakeshore	7
3146 MISSION ST	1949	Bernal Heights	9
34 MASON ST	1907	Tenderloin	3
2576 LOMBARD ST	1940	Marina	2
1425 FOLSOM ST	1936	South of Market	6
101 THE EMBARCADERO	0	Financial District/South Beach	3
2020 MARKET ST	1954	Castro/Upper Market	8
100 BATTERY ST	1956	Financial District/South Beach	3
390 1st St	1969	Financial District/South Beach	6
205 Franklin Street	2013	Hayes Valley	5
120 STOCKTON ST	1974	Financial District/South Beach	3
6221 GEARY BLVD	1969	Outer Richmond	1
320 ALABAMA ST	2002	Mission	9
899 HOWARD ST	1920	South of Market	6
240 SHOTWELL ST	1938	Mission	9
700 VAN NESS	0	Tenderloin	5
1960 BROADWAY	NA	Pacific Heights	2
1600 STOCKTON ST	1927	North Beach	3
444 PRESIDIO AVE	1962	Presidio Heights	2
550 GEARY ST	1929	Tenderloin	3
3185 WASHINGTON ST	1921	Pacific Heights	2
700 7TH ST	1905	Mission Bay	6
1446 Market St	NA	Tenderloin	6
690 PENNSYLVANIA AVE	1999	Potrero Hill	10
1177 EDDY ST	1956	Western Addition	5
444 TOWNSEND ST	1923	Mission Bay	6
1 DANIEL BURNHAM CT	1987	Western Addition	2
2500 STEINER ST	NA	Pacific Heights	2
667 MISSION ST	1909	Financial District/South Beach	6
601 MARKET ST	1917	Financial District/South Beach	6
101 HOWARD ST	1968	Financial District/South Beach	6
227 BAY ST	1970	North Beach	3
2435 CALIFORNIA ST	1941	Pacific Heights	2
1301 MARKET ST	1937	South of Market	6
150 BERRY ST	2003	Mission Bay	6
3160 21ST ST	1969	Mission	9
726 SUTTER ST	0	Nob Hill	3
840 POST ST	NA	Nob Hill	3
1075 California St	1924	Nob Hill	3
1940 BROADWAY	NA	Pacific Heights	2
950 HARRISON ST	2000	South of Market	6
511 HARRISON ST	1930	Financial District/South Beach	6
850 MONTGOMERY ST	1970	Chinatown	3
2601 MISSION ST	1962	Mission	9
1550 Mission St	2020	Mission	6
188 SPEAR ST.	1973	Financial District/South Beach	6
1590 BROADWAY	1909	Russian Hill	3
1620 MONTGOMERY ST	1907	Financial District/South Beach	3
642 HARRISON ST	1925	Financial District/South Beach	6
2 HARBOR RD	1900	Bayview Hunters Point	10
901 MARKET ST	1912	South of Market	6
544 GOLDEN GATE AVE	1911	Tenderloin	5
617 MISSION ST	1908	Financial District/South Beach	6
361 BRANNAN ST	1928	Financial District/South Beach	6
1515 SLOAT BLVD	1992	Sunset/Parkside	4
1700 OWENS ST	2007	Mission Bay	6
645 HARRISON ST	1948	Financial District/South Beach	6
944 FOLSOM ST	1936	South of Market	6
1330 JONES ST	1954	Nob Hill	3
1111 MARKET ST	1920	South of Market	6
2125 BRYANT ST	2009	Mission	9
839 LEAVENWORTH ST	1911	Nob Hill	3
539 BRYANT ST	1912	South of Market	6
685 7TH ST	1946	South of Market	6
25 KEARNY ST	1909	Financial District/South Beach	3
351 BUENA VISTA AVE	1987	Castro/Upper Market	8
650 2ND ST	1996	Financial District/South Beach	6
25 CYRIL MAGNIN ST	1973	Tenderloin	3
945 GREEN ST	1928	Nob Hill	3
170 SOUTH VAN NESS AVE	1936	Mission	6
955 INDIANA ST	1961	Potrero Hill	10
1250 Sunnydale Ave	2000	Visitacion Valley	10
2675 FOLSOM ST	1952	Mission	9
351 CALIFORNIA ST	1920	Financial District/South Beach	3
464 CALIFORNIA ST	1959	Financial District/South Beach	3
3003 3RD ST	1940	Bayview Hunters Point	10
725 GREENWICH ST	1985	North Beach	3
1885 MISSION ST	1925	Mission	9
2500 MASON ST	1974	North Beach	3
420 MISSION BAY BLVD	2012	Mission Bay	6
222 STANYAN ST	1929	Lone Mountain/USF	1
155 STEUART ST	1906	Financial District/South Beach	6
1200 IRVING ST	1959	Inner Sunset	7
50 OSGOOD PL	1986	North Beach	3
2601 MARIPOSA ST	1989	Mission	9
1155 INDIANA ST	1965	Potrero Hill	10
1563 PAGE ST	2020	Haight Ashbury	5
45 PIER - SHED B	1900	North Beach	3
705 SANSOME ST	1906	Chinatown	3
1075 FRONT ST	1906	Financial District/South Beach	3
166 GEARY ST	1907	Financial District/South Beach	3
260 CALIFORNIA ST	1910	Financial District/South Beach	3
70 Pier #12	1941	Potrero Hill	10
777 TENNESSEE ST	1957	Potrero Hill	10
340 POST ST	1923	Financial District/South Beach	3
575 SUTTER ST	1919	Nob Hill	3
690 LONG BRIDGE ST	NA	Mission Bay	6
181 Fremont St	2018	Financial District/South Beach	6
1628 CALIFORNIA ST	2007	Nob Hill	3
575 MARKET ST	1975	Financial District/South Beach	6
520 6TH ST	2001	South of Market	6
2130 HARRISON ST	2001	Mission	9
1090 CHESTNUT ST	1927	Russian Hill	2
225 HYDE ST	1928	Tenderloin	5
444 SPEAR ST	1939	Financial District/South Beach	6
155 Montgomery St	1921	Financial District/South Beach	3
4950 MISSION ST	1980	Outer Mission	11
474 VALENCIA ST.	1949	Mission	9
100 PINE ST	1971	Financial District/South Beach	3
1830 FILLMORE ST	1984	Pacific Heights	5
1000 GREEN ST	1950	Russian Hill	3
171 2ND ST	1912	Financial District/South Beach	6
1245 CALIFORNIA ST	1924	Nob Hill	3
1400 Folsom Street	1924	South of Market	6
868 FOLSOM ST	1935	South of Market	6
1255 Battery St	1981	Financial District/South Beach	3
200 CARDENAS AVE	1942	Lakeshore	7
1501 DIVISADERO ST	1938	Japantown	2
665 3RD ST	1916	Financial District/South Beach	6
144 LEAVENWORTH ST	1922	Tenderloin	5
2135 SUTTER ST	1906	Japantown	5
2949 18TH ST	2009	Mission	9
625 POLK ST	1912	Tenderloin	5
2401 INGALLS ST	1964	Bayview Hunters Point	10
476 GEARY ST	1911	Tenderloin	3
1590 Sutter St	NA	Pacific Heights	2
1201 CALIFORNIA ST	NA	Nob Hill	3
3800 GEARY BLVD	1921	Inner Richmond	1
2190 LOMBARD ST	1988	Marina	2
617 BATTERY ST	1906	Chinatown	3
2140 FOLSOM ST	1916	Mission	9
841 HOWARD ST	1923	South of Market	6
420 BRYANT ST	1922	Financial District/South Beach	6
600 CALIFORNIA ST	1991	Chinatown	3
583 HOWARD ST	1912	Financial District/South Beach	6
1234 DIVISADERO ST	1981	Western Addition	5
3180 22ND ST	1926	Mission	9
2006 WASHINGTON ST	NA	Pacific Heights	2
384 POST ST	1980	Financial District/South Beach	3
355 BRANNAN ST	1928	Financial District/South Beach	6
992 PERALTA AVE	1948	Bernal Heights	9
1412 VAN NESS AVE	1913	Nob Hill	3
851 VAN NESS AVE	2002	Western Addition	2
2700 GEARY BLVD	1923	Presidio Heights	2
133 GOLDEN GATE AVE	0	Tenderloin	5
55 4TH ST	1989	Financial District/South Beach	6
178 Townsend St	2012	Financial District/South Beach	6
241 6TH ST	1995	South of Market	6
490 POST ST.	1925	Nob Hill	3
850 VAN NESS AVE	1919	Tenderloin	5
550 SUTTER ST	1909	Nob Hill	3
2140 TAYLOR ST	1962	Russian Hill	3
1527 STOCKTON ST	1915	North Beach	3
535 JESSIE ST	1907	South of Market	6
2310 MASON ST	1968	North Beach	3
500 Pine Street	NA	Financial District/South Beach	3
1230 CLAY ST	1950	Nob Hill	3
1715 CORTLAND AVE	1937	Bernal Heights	9
799 MARKET ST	1968	Financial District/South Beach	6
540 MARKET ST	1913	Financial District/South Beach	3
1110 4TH ST	NA	Mission Bay	6
500 GONZALEZ DR	1942	Lakeshore	7
655-675 SOUTH VAN NESS AVE	1958	Mission	9
2169 FOLSOM ST	2001	Mission	9
720 CALIFORNIA ST	1926	Chinatown	3
1033 FILBERT ST	1922	Russian Hill	3
1 CLEMENT ST	1908	Inner Richmond	1
300 PAGE ST	1922	Hayes Valley	5
611 MISSION ST	1907	Financial District/South Beach	6
3450 3RD ST #2 B	1987	Bayview Hunters Point	10
560 SACRAMENTO ST	1909	Chinatown	3
140 South Van Ness Ave	2003	Mission	6
3330 GEARY BLVD	1922	Presidio Heights	2
474 NATOMA ST	2014	South of Market	6
1001 BRANNAN ST	1917	Mission	6
5140 Diamond Heights Blvd	1972	Noe Valley	8
210 GOLDEN GATE AVE	1909	Tenderloin	5
500 INDIANA ST	1999	Potrero Hill	10
845 BUSH ST	1915	Nob Hill	3
2020 VAN NESS AVE	1915	Russian Hill	3
201 SPEAR ST	1986	Financial District/South Beach	6
3575 GEARY BLVD	2011	Lone Mountain/USF	2
350 SANSOME ST	1952	Financial District/South Beach	3
2800 SLOAT BLVD	1955	Sunset/Parkside	4
120 2ND ST	1907	Financial District/South Beach	6
1241 EVANS AVE	1990	Bayview Hunters Point	10
680 FOLSOM ST	1964	Financial District/South Beach	6
18 LANSING ST	1928	Financial District/South Beach	6
385 8TH ST	1906	South of Market	6
317 CLEMENTINA ST	1984	South of Market	6
280 TOWNSEND ST	1947	South of Market	6
580 CALIFORNIA ST	1984	Financial District/South Beach	3
1001-1011 BRYANT ST	2010	South of Market	6
200 GREEN ST	1923	North Beach	3
3490 California Street	2000	Presidio Heights	2
98 BATTERY ST	1907	Financial District/South Beach	3
1270 GREAT HWY	1956	Sunset/Parkside	4
880 FRANKLIN ST	1980	Western Addition	2
1524 Polk St	1906	Nob Hill	3
1260 EGBERT AVE	1987	Bayview Hunters Point	10
701 BRYANT ST	1926	South of Market	6
2501 Cesar Chavez St	1925	Bayview Hunters Point	10
2929 19TH ST	1923	Mission	9
1405 INDIANA ST	1962	Bayview Hunters Point	10
3375 17th St	NA	Mission	9
2445 MARIPOSA ST	1983	Mission	9
2415 VAN NESS AVE	1926	Marina	2
730 TARAVAL ST	1900	West of Twin Peaks	7
220 BUSH ST	1930	Financial District/South Beach	3
888 BRANNAN ST	1920	South of Market	6
3001 19TH ST	1905	Mission	9
1737 POST STREET	1967	Japantown	5
66 POTRERO AVE	1956	Mission	9
2199 Fulton St	NA	Lone Mountain/USF	1
1200 FOLSOM ST	1925	South of Market	6
135 VALENCIA ST	1997	Mission	6
980 MISSION ST	1924	South of Market	6
56 12TH ST	1912	Mission	6
30 HOTALING PL	1933	Chinatown	3
451 JACKSON ST	1900	Chinatown	3
200 LOMBARD ST	1992	North Beach	3
2 MCLEA CT	2008	South of Market	6
210 POST STREET	1905	Financial District/South Beach	3
601 MONTGOMERY ST	1978	Chinatown	3
2211 PALOU AVE	1947	Bayview Hunters Point	10
1237 MINNESOTA ST	1929	Potrero Hill	10
699 8TH ST	1990	South of Market	6
222 FRONT ST	1988	Financial District/South Beach	3
100 BUSH ST	1929	Financial District/South Beach	3
555 DE HARO ST	1900	Potrero Hill	10
83 MCALLISTER ST	1907	Tenderloin	5
1020 VALLEJO ST	1984	Nob Hill	3
116 NEW MONTGOMERY ST	1901	Financial District/South Beach	6
20 HAIGHT ST	1959	Hayes Valley	6
701 MINNESOTA ST	1900	Potrero Hill	10
595 SUTTER ST	1919	Nob Hill	3
1135 ELLIS ST	1968	Western Addition	2
2770 LOMBARD ST	1926	Marina	2
1801 23RD AVE	1958	Sunset/Parkside	4
135 POWELL ST	1909	Tenderloin	3
191 SUTTER ST	1911	Financial District/South Beach	3
675 ARTHUR AVE	1987	Bayview Hunters Point	10
101 BROADWAY	1909	Financial District/South Beach	3
2765 16TH ST	1929	Mission	9
1 Henry Adams	2017	Mission Bay	6
299 Valencia St	2012	Mission	9
1155 Bryant St	1919	South of Market	6
250 EXECUTIVE PARK BLVD	1986	Bayview Hunters Point	10
1098 Harrison St	1924	South of Market	6
301 MENDELL ST	1979	Bayview Hunters Point	10
34 TURK ST	1909	Tenderloin	5
425 MARKET ST	1973	Financial District/South Beach	6
4350 GEARY BLVD	1937	Inner Richmond	1
221 MAIN ST	1973	Financial District/South Beach	6
175 TURK ST	1925	Tenderloin	5
351 GEARY ST	1907	Tenderloin	3
3132 CLEMENT ST	2002	Outer Richmond	1
117 POST ST	1906	Financial District/South Beach	3
501 2ND ST	1985	Financial District/South Beach	6
930 MONTGOMERY ST	1927	North Beach	3
1750 TAYLOR ST	1964	Nob Hill	3
54 4TH ST	1914	South of Market	6
1800 Owens St	2018	Potrero Hill	6
1215 ELLIS ST	1971	Western Addition	2
2801 VICENTE ST	1959	Sunset/Parkside	4
2790 GREEN ST	1923	Marina	2
570 MARKET ST	1922	Financial District/South Beach	3
340 TOWNSEND ST	1987	South of Market	6
522 CARTER ST	2004	Excelsior	11
200 RHODE ISLAND ST	1912	Mission Bay	6
230 8TH ST	1906	South of Market	6
500 WASHINGTON ST	1983	Chinatown	3
590 BAY ST	1974	North Beach	3
1200 GOUGH ST	1966	Western Addition	2
369 PINE ST	1918	Financial District/South Beach	3
1167 MISSION ST	1917	South of Market	6
300 South Van Ness Ave	2015	Mission	9
950 FILLMORE ST	1971	Western Addition	5
1199 BUSH ST	1991	Nob Hill	3
49 STEVENSON ST	1989	Financial District/South Beach	6
225 POWELL ST	1908	Tenderloin	3
691 China Basin St	2021	Mission Bay	6
39 NEW MONTGOMERY ST	1912	Financial District/South Beach	6
350 MASONIC AV	2021	Lone Mountain/USF	2
434 Minna St	2021	South of Market	6
29 OAKWOOD ST	2008	Mission	8
1177 HARRISON ST	1919	South of Market	6
55 HAWTHORNE ST	1970	Financial District/South Beach	6
21 COLUMBIA SQUARE ST	1994	South of Market	6
2034 FILLMORE ST	1900	Pacific Heights	2
185 POST ST	1907	Financial District/South Beach	3
3550 CESAR CHAVEZ ST	1956	Mission	8
1 ACEVEDO AVE	1942	Lakeshore	7
15 BEATRICE LN	1978	Bayview Hunters Point	10
1 HARRISON ST	1918	Financial District/South Beach	6
601 4TH ST	1916	South of Market	6
440 MISSION ST	1920	Financial District/South Beach	6
150 POWELL ST	1995	Financial District/South Beach	3
748 Van Ness Ave	2008	Tenderloin	5
1755 FILBERT ST	1982	Marina	2
1 BEACH ST	1971	North Beach	3
301 8TH ST	1914	South of Market	6
1466 POWELL ST	1908	Chinatown	3
2375 Golden Gate Ave	1921	Lone Mountain/USF	1
12 4TH ST	1999	South of Market	6
1332 VAN NESS AVE	1912	Nob Hill	3
50 LANSING ST	2006	Financial District/South Beach	6
1550 BAY ST	1969	Marina	2
620 JONES ST	1929	Tenderloin	3
301 HOWARD ST	1987	Financial District/South Beach	6
222 SANSOME ST	1987	Financial District/South Beach	3
939 ELLIS ST	1961	Western Addition	2
85 5TH ST	1923	South of Market	6
135 GOLDEN GATE AVE	1906	Tenderloin	5
455 MISSION BAY BLVD SOUTH	2009	Mission Bay	6
460 BRYANT ST	1907	Financial District/South Beach	6
560 9TH ST	1925	South of Market	6
500 LEAVENWORTH ST	1921	Tenderloin	5
582 MARKET ST	1922	Financial District/South Beach	3
190 10th Street	1924	South of Market	6
1040 GRANT AVE	1959	Chinatown	3
165 OFARRELL ST	1908	Financial District/South Beach	3
102 BUCARELI DR	1942	Lakeshore	7
269 POTRERO AVE	1924	Mission	6
2744 HYDE ST	1956	Russian Hill	3
1500 CUSTER AVE	1960	Bayview Hunters Point	10
123 LOOMIS ST	1953	Bayview Hunters Point	10
33 8TH ST	NA	South of Market	6
475 SANSOME ST	1900	Chinatown	3
525 4TH ST	1924	South of Market	6
365 FULTON ST	NA	Hayes Valley	5
82 1ST ST	1908	Financial District/South Beach	6
121 CAPP ST	1946	Mission	9
25 DIVISION ST	1950	Mission Bay	6
1 LOMBARD ST	1904	Financial District/South Beach	3
2301 MISSION ST	1911	Mission	9
1001 SADDLEBACK DR	1989	Excelsior	11
951 MISSION ST	1916	South of Market	6
440 POST ST	1910	Nob Hill	3
380 ALABAMA ST	2005	Mission	9
550 North Point St	2001	North Beach	3
115 WISCONSIN ST	1916	Mission Bay	10
2225 3RD ST	2013	Potrero Hill	10
72 Townsend St	NA	Financial District/South Beach	6
3360 GEARY BLVD	1969	Presidio Heights	2
2 Folsom St	2000	Financial District/South Beach	6
325 BERRY ST	2007	Mission Bay	6
1001 FRANKLIN ST	1965	Western Addition	2
20 OFARRELL ST	1909	Financial District/South Beach	3
2801 LEAVENWORTH ST	1907	Russian Hill	3
690 MARKET ST	2007	Financial District/South Beach	3
2600 SLOAT BLVD	1990	Sunset/Parkside	4
259 7TH ST	1900	South of Market	6
680 8TH ST	1960	South of Market	6
790 MARKET ST	1907	Financial District/South Beach	3
821 FOLSOM ST	2004	South of Market	6
2398 JERROLD AVE	1983	Bayview Hunters Point	10
1247 HARRISON ST	2004	South of Market	6
480 POTRERO AVE	1924	Mission	9
501 3RD ST	1920	Financial District/South Beach	6
10 Lombard Street	1914	Financial District/South Beach	3
501 FOLSOM ST	1916	Financial District/South Beach	6
1355 SANSOME ST	1982	North Beach	3
71 2ND ST	1898	Financial District/South Beach	6
900 MARIN ST	1953	Bayview Hunters Point	10
871 TURK ST	2008	Western Addition	2
333 TAYLOR ST	1999	Tenderloin	5
36 2ND ST	1907	Financial District/South Beach	6
1388 SUTTER ST	1986	Western Addition	2
200 PORTOLA DR	1996	Twin Peaks	8
515 FOLSOM ST	1918	Financial District/South Beach	6
240 2ND ST	1957	Financial District/South Beach	6
6600 3RD ST	NA	Bayview Hunters Point	10
2650 18TH ST	1931	Mission	9
4096 17TH ST	1965	Castro/Upper Market	8
1 LAWRENCE AVE	1993	Outer Mission	11
2919 MISSION ST	1907	Mission	9
555 Minnesota St	1947	Potrero Hill	10
1250 VAN DYKE AVE	0	Bayview Hunters Point	10
235 2ND ST	2001	Financial District/South Beach	6
350 UNION ST	1965	North Beach	3
2401 17TH ST	1909	Mission	9
1050 VAN NESS AVE	1909	Tenderloin	5
1200 CALIFORNIA ST	NA	Nob Hill	3
2215 REVERE AVE	1953	Bayview Hunters Point	10
369 18TH AVE	1923	Outer Richmond	1
2664 MISSION ST	1900	Mission	9
301 BUCHANAN ST	1999	Hayes Valley	5
1819 EGBERT AVE	1983	Bayview Hunters Point	10
945 VAN NESS AVE	1937	Western Addition	2
333 BATTERY ST	1989	Chinatown	3
3100 WEBSTER ST	1956	Marina	2
290 SUTTER ST	1908	Financial District/South Beach	3
222 Second Street	2016	Financial District/South Beach	6
1415 VAN NESS AVE	1900	Western Addition	2
555 MONTGOMERY ST	1985	Chinatown	3
50 8TH ST	1969	South of Market	6
2155 POWELL ST	1907	North Beach	3
501 FONT BLVD	1942	Lakeshore	7
200 SANSOME ST	1927	Financial District/South Beach	3
1455 MARKET STREET	1979	South of Market	6
175 GOLDEN GATE AVE	1899	Tenderloin	5
201 EDDY ST	1914	Tenderloin	5
424 TOWNSEND ST	1936	Mission Bay	6
28 GEARY ST	1908	Financial District/South Beach	3
1970 INNES AVE	1965	Bayview Hunters Point	10
2190 WASHINGTON ST	1961	Pacific Heights	2
620 POST ST	1910	Nob Hill	3
1359 PINE ST	1969	Nob Hill	3
350 CALIFORNIA	1976	Financial District/South Beach	3
855 LA PLAYA	1982	Outer Richmond	1
471 PINE ST	1911	Financial District/South Beach	3
950 STOCKTON ST	1970	Chinatown	3
135 MISSISSIPPI ST	1984	Potrero Hill	10
170 OTIS ST	NA	Mission	6
1343 STOCKTON ST	1912	Chinatown	3
449 POWELL ST	1913	Nob Hill	3
1000 CHESTNUT ST	1955	Russian Hill	2
3 DIAZ AVE	1942	Lakeshore	7
235 BERRY ST	2007	Mission Bay	6
429 Beale St	1951	Financial District/South Beach	6
655 BROTHERHOOD WAY	1980	Lakeshore	7
110 THE EMBARCADERO	1984	Financial District/South Beach	6
21 SOUTH PARK	1919	Financial District/South Beach	6
829 FOLSOM ST	NA	South of Market	6
138 6TH ST	1907	South of Market	6
201 THIRD ST	1983	Financial District/South Beach	6
120 CAPP ST	1981	Mission	9
733 FRONT ST	2007	Financial District/South Beach	3
810 MISSION ST	1925	South of Market	6
2343 FILLMORE STREET	1924	Pacific Heights	2
240 DOLORES ST	1968	Castro/Upper Market	8
465 CALIFORNIA ST	1903	Financial District/South Beach	3
1300 ILLINOIS ST	1957	Potrero Hill	10
600 STOCKTON ST	1908	Financial District/South Beach	3
3450 3RD ST #1 D	1987	Bayview Hunters Point	10
1554 VAN NESS AVE	1917	Nob Hill	3
201 MISSION ST	1981	Financial District/South Beach	6
1780 Bancroft Ave	2010	Bayview Hunters Point	10
574 3RD ST	1907	South of Market	6
2660 3RD ST	2017	Potrero Hill	10
12 SOUTH VAN NESS AVE	1927	Mission	6
380 CLEMENTINA ST	1972	South of Market	6
601 MISSION ST	1907	Financial District/South Beach	6
555 MARKET ST	1964	Financial District/South Beach	6
415 NATOMA ST	2022	South of Market	6
855 BATTERY ST	1907	Financial District/South Beach	3
300 NEWHALL STREET	1979	Bayview Hunters Point	10
787 BRANNAN ST	1900	South of Market	6
1201 FOLSOM ST	1928	South of Market	6
800 2ND ST	1900	Mission Bay	6
1170 MARKET ST	1983	Tenderloin	5
2690 MISSION ST	1953	Mission	9
973 MARKET ST	1908	South of Market	6
334 MASON ST	1912	Tenderloin	3
170 COLUMBUS AVE	1985	Chinatown	3
2500 MARIN ST	1959	Bayview Hunters Point	10
1453 MISSION ST	1913	South of Market	6
555 4TH ST	2006	South of Market	6
900 BUSH ST	1982	Nob Hill	3
1 ARDATH CT	1983	Bayview Hunters Point	10
301 ANZA ST	2002	Lone Mountain/USF	1
260 BAY ST	1968	North Beach	3
1278 MINNESOTA ST	2012	Potrero Hill	10
800 MARKET ST	1908	Financial District/South Beach	3
761 POST ST	1930	Tenderloin	3
1850 CESAR CHAVEZ ST	1989	Bayview Hunters Point	10
505 BEACH ST	1950	North Beach	3
570 TOWNSEND ST	1960	South of Market	6
175 DE HARO ST	1946	Mission Bay	6
855 SACRAMENTO ST	1925	Chinatown	3
610 GEARY ST	1907	Tenderloin	3
1251 Turk St	NA	Western Addition	5
910 HARRISON ST	1927	South of Market	6
491 BAYSHORE BLVD	2010	Bayview Hunters Point	10
1 SANSOME ST	1983	Financial District/South Beach	3
929 MARKET ST	1907	South of Market	6
1150 UNION ST	1930	Russian Hill	3
3101 MISSION ST	2000	Bernal Heights	9
251 RHODE ISLAND ST	1925	Mission Bay	6
6222 GEARY BLVD	1965	Outer Richmond	1
1025 COLUMBUS AVE	1931	Russian Hill	3
901 BAY SHORE BLVD	2003	Bayview Hunters Point	10
1091 MISSION ST	1912	South of Market	6
245 11TH ST	1917	South of Market	6
220 NEWHALL ST	1979	Bayview Hunters Point	10
153 KEARNY ST	1909	Financial District/South Beach	3
1900 PACIFIC AVE	1970	Pacific Heights	2
60 RAUSCH ST	2002	South of Market	6
1 EMBARCADERO CENTER	1970	Financial District/South Beach	3
2 BUCARELI DR	1942	Lakeshore	7
900 BATTERY ST	1917	Financial District/South Beach	3
1355 VAN NESS AVE	1916	Western Addition	2
1790 YOSEMITE AVE	1946	Bayview Hunters Point	10
401 HARRISON ST	NA	Financial District/South Beach	6
670 4TH ST	2003	South of Market	6
1140 BUCHANAN ST	1972	Western Addition	5
1468 25TH ST	NA	Potrero Hill	10
2288 BROADWAY	NA	Pacific Heights	2
401 WASHINGTON ST	1983	Chinatown	3
166 GOLDEN GATE AVE	1908	Tenderloin	5
2133 STOCKTON ST	1964	North Beach	3
1750 FULTON ST	2001	Lone Mountain/USF	2
1975 POST ST	2001	Japantown	5
888 HOWARD ST	0	South of Market	6
1849 VAN NESS AVE	1920	Pacific Heights	2
2190 BROADWAY	1973	Pacific Heights	2
500 HOWARD ST	2003	Financial District/South Beach	6
2950 GEARY BLVD	1946	Presidio Heights	2
333 Pine Street	1917	Financial District/South Beach	3
1272 MARKET ST	1907	Tenderloin	6
670 VALENCIA ST	NA	Mission	9
45 KEARNY ST	1907	Financial District/South Beach	3
1100 UNION ST	1929	Russian Hill	3
250 4TH ST	1947	South of Market	6
240 BAY ST	1968	North Beach	3
220 9TH ST	1924	South of Market	6
250 MONTGOMERY ST	1986	Financial District/South Beach	3
1499 SUTTER ST	1907	Western Addition	2
80 ELMIRA ST	1954	Bayview Hunters Point	10
560 PACIFIC AVE	1910	North Beach	3
2530 18TH ST	1924	Mission	9
210 JONES ST	1926	Tenderloin	5
317 29TH ST	NA	Noe Valley	8
657 HOWARD ST	1922	Financial District/South Beach	6
599 SKYLINE BLVD	1920	Lakeshore	7
991 VALENCIA ST	1900	Mission	9
1173 HOWARD ST	1922	South of Market	6
547 SUTTER ST	1922	Nob Hill	3
447 BUSH ST	1914	Financial District/South Beach	3
2345 Golden Gate Ave	NA	Lone Mountain/USF	1
2790 19TH AVE	1979	West of Twin Peaks	7
1650 OCTAVIA ST	1962	Pacific Heights	2
1532 Harrison St	NA	Mission	6
924 SANSOME ST	1911	Financial District/South Beach	3
217 2ND ST	1912	Financial District/South Beach	6
445 Fillmore St	1925	Hayes Valley	5
2550 CESAR CHAVEZ ST	1956	Bayview Hunters Point	10
2526 MISSION ST	1926	Mission	9
631 FOLSOM ST	2009	Financial District/South Beach	6
407 SANSOME ST	1909	Chinatown	3
180-200 NAPOLEON ST	1948	Bayview Hunters Point	10
90 NEW MONTGOMERY ST	1988	Financial District/South Beach	6
1301 FOLSOM ST	1942	South of Market	6
35 CAMBON DR	1942	Lakeshore	7
5757 GEARY BLVD	1967	Outer Richmond	1
1240 MINNESOTA ST	1921	Potrero Hill	10
500 ARBALLO DR	1951	Lakeshore	7
165 POST ST	1908	Financial District/South Beach	3
1502 FILLMORE ST	1990	Western Addition	5
945 BRYANT ST	1964	South of Market	6
649 FRONT ST	1910	Financial District/South Beach	3
3180 18TH ST	1900	Mission	9
46 GEARY ST	1907	Financial District/South Beach	3
825 NEWHALL ST	1951	Bayview Hunters Point	10
500 MENDELL ST	1981	Bayview Hunters Point	10
625 MARKET ST	1907	Financial District/South Beach	6
121 2ND ST	1907	Financial District/South Beach	6
5 PEREGO TER	1962	Twin Peaks	8
109 LAKE MERCED BLVD	1975	Lakeshore	7
2301 CHESTNUT ST	1931	Marina	2
981 HOWARD ST	1927	South of Market	6
834 DIVISADERO ST	1916	Western Addition	5
1400 TENNESSEE ST	1983	Potrero Hill	10
425 WASHINGTON ST	1907	Chinatown	3
717 CALIFORNIA ST	1908	Financial District/South Beach	3
2200 PACIFIC AVE	1962	Pacific Heights	2
2495 Golden Gate Ave	NA	Lone Mountain/USF	1
635 PORTOLA DR	1942	West of Twin Peaks	7
3921 GEARY BLVD	1988	Inner Richmond	1
1405 MINNESOTA ST	1962	Bayview Hunters Point	10
77 MAIDEN LN	1920	Financial District/South Beach	3
299 Fremont St	2016	Financial District/South Beach	6
1338 MISSION ST	1923	South of Market	6
616 DIVISADERO ST	1926	Hayes Valley	5
555 NORTH POINT ST	1990	North Beach	3
2800 LEAVENWORTH ST	1978	North Beach	3
101 BUCARELI DR	1942	Lakeshore	7
230 JONES ST	1924	Tenderloin	5
44 MONTGOMERY ST	1966	Financial District/South Beach	3
4109 18TH ST	1918	Castro/Upper Market	8
1400 GEARY BLVD	1969	Japantown	2
333 MARKET ST	1981	Financial District/South Beach	6
260 OFARRELL ST	1965	Tenderloin	3
1625 VAN NESS AVE	1919	Pacific Heights	2
550 MINNA ST	2001	South of Market	6
222 MASON ST	1988	Tenderloin	5
410 TOWNSEND ST	1912	Mission Bay	6
1100 SACRAMENTO ST	1925	Nob Hill	3
325 OCTAVIA ST	NA	Hayes Valley	5
111 NEW MONTGOMERY ST	1907	Financial District/South Beach	6
50 3RD ST	1983	Financial District/South Beach	6
230 CALIFORNIA ST	1913	Financial District/South Beach	3
