"","Street Address","Business Start Date","Location Start Date","DBA Name"
"1952","1254 21 Ave.",2017-07-18,2017-07-18,"Noratha"
"1953","103 Horne Ave",2016-02-12,2016-03-01,"Sobakeable"
"1954","546 Magnolia Ave 456a",2016-08-01,2019-04-23,"World Green Acai- Bowl Juice"
"1955","340 Grove St",2018-01-09,2018-12-12,"Urban Bowls"
"1956","602 Hayes St",2018-01-01,2018-01-01,"The Meatball Bar"
"1957","5217 Geary Blvd",2018-07-22,2018-07-22,"Dragon Creation Desserts"
"1958","3033 La Selva St Apt 320",2016-06-29,2016-06-29,"Chapter 2 Coffee"
"1959","1521 Eddy St",2017-04-13,2017-04-13,"Ck Fine Dining, Inc."
"1960","1 Stanyan Blvd",2019-08-01,2019-08-01,"Rooster & Rice"
"1961","1760 Cesar Chavez Unit L",2016-09-01,2017-04-04,"Flourish Foods LLC"
"1962","645 5th St",2017-12-15,2017-12-29,"Foundation Cafe"
"1963","3248 18th St",2019-06-13,2019-06-13,"Gallardos Mexican Restaurant"
"1964","2948 Folsom St",2016-02-23,2018-12-18,"Coast Poke Counter"
"1965","244 Clement St",2019-12-02,2019-12-19,"Bread And Friends"
"1966","550 Montgomery St Fl 10",2016-03-25,2022-06-21,"Corbeaux Lounge"
"1967","2760 Octavia St",2019-03-30,2022-02-01,"2760 Octavia St, San Francisco, Ca 94123"
"1968","5217 Geary Blvd",2018-09-25,2018-11-01,"Sweet Mango Dessert & Cafe"
