"","Street Address","Business Start Date","Location Start Date","DBA Name"
"2580","219 King St",2020-01-01,2020-01-01,"Tea Hub"
"2581","24 Willie Mays Pl Lower Center Field Sec 144",2018-03-09,2018-03-16,"95313 C & C Concessions/Main Vending Commissary Room"
"2582","1240 Noriega St",2019-04-03,2019-12-31,"Phobulous"
"2583","645 Larkin St",2016-10-26,2017-06-21,"Young Fava"
"2584","722 19th Ave",2019-04-29,2019-04-29,"Eureka Tortilla LLC"
"2585","601 Mission Bay N Blvd",2018-09-11,2022-09-22,"Momo Noodle"
"2586","5170 Mission St",2017-03-01,2017-03-01,"Boos Voni"
"2587","117 New Montgomery",2019-05-08,2019-05-08,"Super Duper"
"2588","2317 Chestnut St",2017-03-23,2017-03-23,"Mamanoko"
"2589","1322 Grove St",2016-09-29,2017-05-03,"Aedan,LLC"
"2590","3251 20th Ave",2018-05-17,2022-01-01,"Stonestown Farmers Market"
"2591","393 Bay Street",2019-07-02,2019-07-02,"New Thai Elephant"
"2592","1524 18 Th Ave.",2016-09-09,2016-09-09,"Russian Deli Eliseevski"
"2593","1805 Geary Blvd",2019-07-01,2019-07-01,"The Fillmore"
"2594","3160 Woods Circle Cir",2019-03-22,2019-04-03,"Simba's Heirloom Farm"
"2595","56 Belden Pl",2017-02-28,2023-04-01,"Latin Steakhouse"
"2596","2201 Union St",2018-12-10,2018-12-10,"Loving Cup Union"
"2597","425 Market St Fl 8",2017-02-01,2017-02-01,"Postmates Inc"
"2598","1195 Evans Ave",2018-08-13,2021-03-12,"The Vegan Hood Chefs"
"2599","1196 Folsom St",2019-07-22,2019-07-30,"Anton's Pizza & Burgers"
"2600","1933 Indiana St",2017-03-31,2017-03-31,"Up Bay Coffee Pedalers"
"2601","1620 Post St",2018-07-16,2019-02-26,"Daeho Korean Bbq And Beef Soup"
"2602","103 Horne Ave",2016-07-27,2017-03-31,"Karmasous"
"2603","2036 Lombard St",2019-04-28,2019-04-28,"Westwood"
"2604","50 Fremont St Fl 23/24",2017-12-27,2019-03-21,"Aramark Rfs At Salesforce"
"2605","420 Judah St",2019-06-20,2019-06-20,"Sumo"
"2606","4302 Redwood Hwy Ste 200",2017-06-14,2017-06-14,"Subway Sandwiches 6985"
"2607","680 Clay St",2016-07-01,2018-07-01,"Hinodeya Ramen Bar Financial"
"2608","324 Clement St",2017-07-25,2017-07-25,"Tea Fm"
"2609","5 S Linden Ave Ste 1",2017-03-26,2017-03-26,"Dispatch"
"2610","2432 Polk Street",2019-05-10,2019-05-10,"Pralin Bakehouse"
"2611","543 Columbus Ave",2016-08-15,2016-08-15,"Caffe Spuntino"
"2612","2000 Mckinnon Ave Bldg 428",2017-05-04,2017-05-04,"Sun Valley Produce & Trading Inc."
"2613","1626 Taraval St",2016-05-13,2016-05-13,"Fiery"
"2614","1700 Fillmore St",2016-05-27,2017-10-19,"Hummus Heaven"
"2615","3245 Geary Blvd Blvd 737",2016-08-01,2016-08-01,"Trepalle"
"2616","900 Bush St Ste C101",2018-02-13,2018-02-13,"Izakaya Yoki"
"2617","4134 Geary Blvd",2017-10-04,2017-10-04,"Wasabi Bistro"
"2618","2240 Taraval St",2018-07-10,2018-07-10,"Chalos"
"2619","660 E Gish Rd",2018-07-01,2018-07-26,"Crepe Em Coming"
"2620","460551",2018-04-05,2018-04-05,"Eat Drink & Laugh"
"2621","20 E 41st Pl Apt E",2017-02-16,2017-02-16,"The Game Day Truck"
"2622","201 Spear St Ste 120",2018-11-09,2018-11-14,"Gozu"
"2623","31 Kearny St",2018-01-17,2018-01-17,"Local Cafe"
"2624","362 Columbus Ave",2017-10-20,2019-03-01,"Family Cafe"
"2625","1325 Fillmore St",2018-04-09,2018-09-09,"Isla Vida"
"2626","460 Bryant St",2019-06-15,2019-06-17,"Crafty California, LLC"
"2627","2415 19th Ave",2019-03-27,2019-03-27,"Seniores Pizza"
"2628","1660 10th Ave",2019-01-01,2021-06-27,"Tartwheels"
"2629","1 Market Plz Spc Pl24",2017-08-25,2017-08-25,"Matko"
"2630","1830 Noriega St",2019-07-11,2019-07-23,"First Up"
"2631","201 Ellis St",2020-01-01,2020-01-01,"Siam City Inc"
"2632","1616 Ocean Ave",2018-12-20,2018-12-20,"New Ocean's Market"
"2633","1324 Fitzgerald Ave Unit C",2019-03-06,2021-05-01,"Tamalitos Catering"
"2634","428 11th St",2019-07-08,2020-07-10,"Porkie"
"2635","420 Judah St",2018-09-05,2018-09-05,"Tekka Tekka"
"2636","701 Columbus Ave",2016-05-18,2016-05-18,"Da Flora LLC"
"2637","302 Randolph St",2019-04-01,2019-04-01,"Blue House Cafe SF"
"2638","1299 Storey Ave",2019-01-01,2019-01-01,"Ann Walker Catering, Inc"
"2639","1226 9th Ave",2019-06-28,2019-06-28,"Tartine 9th Avenue"
"2640","Market Plaza Ave Unit 23",2017-11-27,2017-11-27,"Una Mas Mexican Grill"
"2641","7 Lancaster Cir Apt 247",2019-09-05,2019-09-05,"Mama Jack's Kitchen"
"2642","395 Hayes St",2018-03-23,2018-03-23,"Doppio Zero"
"2643","475 6th St K16",2019-03-11,2019-03-11,"The Little Chihuahua Mexican Restaurant"
"2644","870 Valencia St",2019-03-30,2022-11-01,"Echigo Home Cook"
"2645","2130 Irving Street",2019-04-05,2019-06-17,"Irving Seafood Market"
"2646","1000 Cortland Ave",2016-08-31,2016-08-31,"Skillshot Pinball"
"2647","2 Marina Blvd",2017-10-06,2017-11-30,"Choco Kebab San Francisco"
"2648","1 Daniel Burnham Ct Apt 409",2019-04-16,2019-04-16,"Umami Spoon"
"2649","425 Battery St",2017-09-10,2017-09-10,"Subway Sandwiches #61240"
"2650","1 Mobile Caterers",2019-06-26,2019-09-25,"Vessel Operations (#8)"
"2651","3251 20th Ave",2017-07-04,2020-08-10,"David Upchurch Chocolatier"
"2652","3251 20th Ave",2017-06-22,2021-04-05,"Kikka At Whole Foods Stonestown"
"2653","133 Second St",2019-05-28,2019-05-28,"Henry Africa"
"2654","636 El Camino Real Apt 209b",2017-09-18,2017-09-18,"El Sabor"
"2655","1450 Mission St",2019-01-10,2019-09-18,"Lerso"
"2656","205 Frederick St A",2019-07-08,2020-07-23,"Porkie"
"2657","548 Wisconsin St",2016-05-05,2016-05-05,"Mobile Consession"
"2658","1005 Chester Street",2018-07-14,2018-07-14,"Ripen"
"2659","268 Hillside Blvd",2019-03-18,2019-03-26,"Lamas Peruvian Food Truck"
"2660","3154 Fillmore St",2018-05-01,2018-05-01,"Cow Marlowe"
"2661","2948 Folsom St",2016-08-19,2016-08-19,"Mi Morena"
"2662","100 J F Kennedy Dr",2017-08-30,2024-03-22,"Momolicious"
"2663","799 Battery St",2017-02-02,2019-12-28,"Gambinos Deli Inc"
"2664","2155 Bayshore Blvd",2016-03-03,2016-03-03,"Picky Bite"
"2665","1934 46th Ave",2017-01-19,2017-01-19,"Mix And Mac"
"2666","206 Valencia St",2016-06-09,2016-06-09,"Tawla"
"2667","291 3rd Ave",2019-07-11,2021-05-18,"Yogii Rice"
"2668","433 Precita Ave",2017-07-24,2017-07-24,"Doma Sushi Bar"
"2669","3460 Buckingham Way",2018-02-25,2018-02-25,"Portside Bakery"
"2670","2020 Union Steet",2019-07-11,2019-07-11,"Sd Levys Stadium LLC"
"2671","1252 Valencia St",2017-10-02,2017-10-02,"Cafe Valencia"
"2672","1 Mobile Caterers",2019-01-11,2019-02-04,"Mashallah Halal Food Truck"
"2673","103 Horne Ave",2019-03-16,2019-03-25,"Sln Ctrng"
"2674","410 China Basin St",2018-06-25,2018-06-25,"Food Truck Armada, LLC"
"2675","55 Music Concourse Dr",2019-10-28,2019-10-28,"Constellation Culinary Group"
"2676","532 Columbus Ave",2017-03-01,2017-05-16,"Liguria, LLC"
"2677","191 Pine St",2019-12-06,2019-12-06,"Crustacean Restaurant"
"2678","1400 Jackson St",2018-04-07,2018-04-07,"Sun Kwong Resturant"
"2679","2224 Mission St Bldg",2019-06-21,2019-06-21,"Prubechu"
"2680","953 Dwight",2019-07-01,2019-07-01,"Anna`s Vegetarina Catering."
"2681","1309 9th Ave",2019-12-24,2019-12-24,"Dumpling Park"
"2682","1954 Union St",2016-01-06,2017-04-03,"The Caviar Company"
"2683","1 Ferry Building",2019-07-15,2020-06-10,"Delightful Foods"
"2684","77 Dow Pl Bldg 507",2019-10-04,2019-10-04,"Terra Soups"
"2685","659 Columbus Ave",2018-04-23,2018-05-14,"Freshway Fish"
"2686","26 Magnolia St",2018-05-01,2018-05-01,"500 Club"
"2687","200 23rd Ave",2018-08-28,2018-08-28,"Little Sushi Bar"
"2688","1143 Taraval St",2016-07-25,2016-07-25,"The Deli King"
"2689","88 Collins P Kelley Rd",2019-02-14,2019-02-14,"Oh My Green@Git Hub 2nd Floor"
"2690","600 S Van Ness Ave.",2019-06-10,2019-06-10,"Aroy Thai"
"2691","7 Warriors Way Ste 208",2019-09-20,2019-09-20,"Candlestick Pizza"
"2692","1515 Polk St",2017-04-16,2024-06-27,"The Roll"
"2693","Market St Bldg 125",2017-07-13,2017-07-13,"Dolores Park"
"2694","1455 Market St Ste 3a",2016-06-06,2016-06-06,"Kagawa-Ya Udon Noodle Company"
"2695","2052 Mission St",2017-02-18,2017-02-18,"Gourmet At Home Corp"
"2696","100 1st St",2018-01-01,2022-04-07,"Poke Bar"
"2697","1434 15th",2017-04-07,2017-06-08,"Caviar"
"2698","6800 Mission St 214",2017-10-06,2017-10-06,"Ala-Too LLC"
"2699","1036 Jackson St",2017-01-02,2017-01-02,"Birdsong"
"2700","1355 Market St",2017-08-25,2019-11-19,"Matko"
"2701","200 E Pine E St Ste 168",2016-12-31,2016-12-31,"Chez Fayala"
"2702","428 11th St",2018-09-19,2019-02-22,"Marley's Streats"
"2703","223 Guerrero St",2017-09-12,2017-09-12,"Just Eat It"
"2704","1142 Valencia St",2016-01-04,2016-07-25,"Deccan Spice By M&M"
"2705","2042 Greenwich St Apt",2016-03-16,2016-03-16,"Ground Kitchen"
"2706","2029 Market St",2019-08-16,2021-01-26,"Treats By The Bay"
"2707","3242 22nd St",2019-04-16,2019-04-16,"Gabriella's Pizza"
"2708","1519 Polk St",2018-07-05,2018-07-05,"Ora"
"2709","1 Market St Ste 8",2019-03-01,2019-03-01,"Cuia Acai & Positive Food"
"2710","2 Marina Blvd Bldg C",2018-08-10,2019-07-01,"Izzy's Cheesesteaks Food Truck, LLC"
"2711","1760 Cesar Chavez St",2019-06-26,2021-02-01,"Reef Kitchens"
"2712","167 11th St",2017-07-04,2023-10-10,"David Upchurch Chocolatier"
"2713","410 China Basin St",2018-02-14,2018-02-14,"Parklab Gardens"
"2714","2849 Paces Ferry Se Rd Ste 400",2018-03-06,2018-03-06,"Paradies Lagardere"
"2715","8 Mint Plz",2018-08-27,2018-08-27,"Burma Club"
"2716","1169 Market St",2018-10-17,2018-10-17,"Golden Gate Halal Food"
"2717","422 Larkin St Bldg",2019-02-11,2019-02-11,"Slingshot Cafe"
"2718","210 Beacon St Bldg",2018-08-01,2019-02-28,"Spark Coffee"
"2719","1 Ferry Building 301",2019-08-26,2019-08-26,"Snack15 LLC"
"2720","507 Divisadero St",2019-09-08,2019-09-08,"Burke & Black"
"2721","115 Sansome St 105",2016-02-24,2016-09-01,"City Counter"
"2722","428 11th St",2019-07-08,2019-07-08,"Porkie"
"2723","523 Broadway",2018-07-25,2018-07-25,"Urban Curry"
"2724","524 Van Ness Ave",2016-07-13,2016-07-13,"August1five"
"2725","3198 16th St",2019-01-11,2019-01-11,"Elda"
"2726","200 Market St",2018-06-21,2018-06-21,"Taylor Lane Organic Coffee"
"2727","1392 9th Ave",2019-02-14,2019-04-15,"Holy Gelato"
"2728","330 O'farrell St",2016-09-16,2016-09-16,"Yasuo Japanese Restaurant"
"2729","958 Geneva Ave",2018-07-01,2018-07-01,"B&W Kitchen"
"2730","12 Persia St Apt",2018-12-26,2018-12-26,"Los Planes De Renderos"
"2731","3128 16th St",2016-02-24,2023-11-28,"Kaori Ramen Bar"
"2732","4023 18th St",2017-05-17,2017-05-18,"Cafe Roza"
"2733","1455 Market St Ste 3b",2017-06-28,2017-06-28,"Mateos"
"2734","1740 Fillmore St",2017-02-28,2017-02-28,"Royal Indian Cuisine"
"2735","110 Hunters Point Shipyard Bldg",2017-01-05,2017-01-05,"Goldie's Oakwood Bbq LLC."
"2736","425 Littlefield Ave",2017-04-01,2017-04-01,"James Standfield Catering"
"2737","393 Eddy St",2018-04-24,2018-08-03,"Chicken Broaster Express"
"2738","4404 3rd St",2016-05-25,2016-05-25,"Pizza Zone And Grill"
"2739","854 Geary Blvd",2018-07-30,2018-07-30,"Eric Shou / Tony Kl Shou"
"2740","1634 46th Ave",2019-04-29,2019-06-29,"Automat"
"2741","59 9th St",2017-02-17,2022-01-01,"Namu Stonepot 9th"
"2742","1121 Polk St",2018-07-30,2018-07-30,"El Lopo"
"2743","50 Post St",2019-02-05,2019-03-05,"Greek Table"
"2744","1954 48th Ave",2018-04-09,2018-04-09,"Fire 2 Smoke"
"2745","4217 Geary Blvd",2018-02-01,2018-02-01,"Restaurant"
"2746","2200 Bryant St",2018-12-20,2018-12-20,"Pho At Bryant"
"2747","76 Natoma St",2019-09-06,2019-11-08,"Sam Choy's Poke To The Max"
"2748","1336 9th Ave",2019-10-30,2023-11-30,"Sweet Glory"
"2749","2268 Chestnut St",2018-12-12,2019-08-07,"Virtual Kitchen Co"
"2750","131 Gough St",2019-01-28,2019-01-28,"Petal Aroma Sushi And Asian Fusion"
"2751","1030 Taraval St",2017-07-18,2017-07-18,"Smile House Cafe"
"2752","65 S 65 Ave Apt 12",2018-01-06,2018-08-02,"Mohamed Hamdy"
"2753","7372 Walnut Ave Ste R",2019-01-10,2019-01-10,"Lobsterdamus"
"2754","1 The Embarcadero",2019-09-30,2019-09-30,"Jacobs Specialities LLC"
"2755","50 California St",2016-12-19,2017-08-14,"Joe & The Juice"
"2756","936 Wildwood Ave.",2017-07-20,2017-07-20,"Jvd Marketing"
"2757","2146 Irving St",2016-07-05,2016-07-05,"Sushi Uma Inc"
"2758","1200 32nd Ave",2016-03-14,2016-03-14,"Merchant Roots"
"2759","1380 9th Ave",2018-08-14,2018-08-14,"Sansai Sushi"
"2760","2257 Mason St",2017-10-27,2017-10-27,"Cilantro Sf Taqueria"
"2761","100 Broderick St 401",2017-05-09,2017-05-09,"San Francisco Brewing Co. LLC"
"2762","1 United Nation Plz",2018-02-21,2018-03-15,"Salsa 4 All Seasons"
"2763","201 Columbus Ave",2016-10-20,2016-10-20,"Mr. Bings"
"2764","294 Turk Ave",2019-11-18,2019-11-18,"Hhd Building"
"2765","319 Newbury St",2018-04-23,2018-04-23,"Yohannes Afework"
"2766","3420 18th St",2018-08-20,2018-08-20,"The Brew"
"2767","1490 Sacramento St 2a",2018-06-01,2018-06-01,"Guerrilla Vision LLC"
"2768","291 3rd Ave",2019-09-13,2022-08-23,"Palmetto Superfoods"
"2769","90 Charter Oak Avenue",2018-09-11,2020-08-24,"Momo Noodle"
"2770","1000 Bush St",2017-10-04,2017-10-04,"Gusto Mediterraneo"
"2771","1379 4th St",2020-01-01,2020-01-01,"Rasa Rasa"
"2772","100 Alemany Blvd",2019-03-27,2022-03-16,"Happy Himalayan Momos"
"2773","684 Broadway St",2017-12-01,2017-12-01,"Broadway Dim Sum Cafe"
"2774","496 Beach St",2016-12-16,2016-12-16,"Cod Mother Inc"
"2775","1501 California St",2020-01-01,2022-09-01,"Akiko's"
"2776","53 Stevenson St",2017-01-26,2017-01-26,"Panzon"
"2777","468 Castro Street",2019-06-10,2019-06-10,"Bhoga"
"2778","273 Sagamore St",2018-05-06,2018-05-06,"Tinio Restaurant"
"2779","1700 Ofarrell St",2018-12-26,2019-07-12,"Biota Vegan"
"2780","954 Geary St Apt 42",2019-03-21,2019-03-21,"Enkhtur Enebish"
"2781","101 Broadway St",2019-09-06,2019-11-08,"Sam Choy's Poke To The Max"
"2782","781 Mission Street",2016-03-11,2017-01-19,"Lemonade"
"2783","865 Vermont St",2019-04-30,2019-04-30,"Metropolitan Catering"
"2784","4340 23rd St",2016-08-28,2016-08-28,"City Chai"
"2785","8 Valencia",2016-10-17,2016-10-17,"Yo Dog Organic"
"2786","1328 18th St",2019-05-17,2019-05-17,"Illegal Burgers"
"2787","1 United Nations Plaza",2017-08-22,2018-04-03,"Your Way To Life Foods"
"2788","123 Mission St",2017-12-27,2019-03-13,"Aramark Refreshments At Salesforce"
"2789","103 Horne Ave",2019-12-19,2022-05-23,"The Geez Freeze"
"2790","406 Dewey Blvd",2018-04-26,2018-05-31,"Sushi Shoh"
"2791","3154 Fillmore St",2017-12-04,2017-12-04,"B M Tonkin Inc Dba Eastside West"
"2792","303 2nd St",2016-09-22,2017-02-20,"Sue's Kitchen"
"2793","3621 Dimond W Ave Apt 4",2019-02-25,2019-02-25,"Vegan Mob"
"2794","3100 18th St",2019-11-01,2019-11-01,"Evergreen Garden Restaurant"
"2795","275 Battery St",2019-09-08,2019-09-10,"Il Canto Cafe"
"2796","5176 3rd St",2018-12-03,2022-12-01,"Gumbo Social"
"2797","5317 Geary Blvd",2019-08-13,2019-08-13,"Sf Burger Corporations"
"2798","728 Post St",2018-03-01,2018-03-01,"Mangal Mediterranean Restaurant LLC"
"2799","2948 Folsom St",2019-04-08,2019-05-21,"Halenia"
"2800","277 Golden Gate Ave",2016-06-06,2022-05-02,"Roots And Craft Tea Roasters"
"2801","10  Neptune St",2018-07-05,2018-07-05,"Exquisite Gourmet"
"2802","651 Capistrano Way Way",2017-04-13,2017-04-13,"Mission Dogs"
"2803","2351 Mission St",2019-06-26,2019-08-19,"Reef Kitchens #4"
"2804","607 Divisadero St",2016-06-07,2016-06-07,"Juliette's"
"2805","728 Post St",2017-01-01,2017-01-01,"Bite Room"
"2806","115 Sansome Ste 200",2018-10-09,2018-10-09,"Formica Table LLC"
"2807","939 Page St",2018-05-09,2018-05-09,"Ariana's Energy Bites"
"2808","450 Balboa St",2018-09-06,2018-09-06,"Foghorn Taproom"
"2809","326 Baker St Apt 4",2018-06-07,2018-06-07,"The Cupboard"
"2810","167 11th St",2019-02-22,2019-02-22,"Jora Peruvian Cuisine"
"2811","1 Mobile Caterers",2017-06-06,2018-04-01,"Fullskoop Bush #3"
"2812","15 Romolo Pl",2019-01-01,2019-01-01,"15 Romolo"
"2813","1254 Hyde St St 111",2018-10-01,2018-10-01,"Cafe Okawari"
"2814","678 Chenery St",2016-12-22,2016-12-22,"Tekka House"
"2815","549 Irving St",2017-01-20,2024-05-28,"Momo Tea"
"2816","14 Garces Drive",2019-09-30,2019-09-30,"14 Garces Drive"
"2817","715 S Mary Ave",2016-05-01,2016-05-01,"Acai Ohana"
"2818","685 Market St",2017-02-15,2017-02-15,"Bluestone Lane"
"2819","3617 Wawona Rd",2016-09-29,2016-09-29,"Aedan LLC"
"2820","3251 20th Ave",2019-07-15,2021-11-01,"Delightful Foods"
"2821","499 Dolores St",2017-02-17,2019-05-23,"Namu Stonepot"
"2822","475 Sixth St",2016-08-23,2019-04-09,"Sweetgreen Soma Cloud Kitchen K17"
"2823","40 Belden Pl",2017-01-03,2022-04-20,"Leleka"
"2824","139 Steuart St",2016-03-01,2016-04-01,"Modernist"
"2825","2546 Third St Apt 6",2016-10-14,2016-10-14,"San Francisco"
"2826","832 Clement St St",2018-05-25,2018-05-25,"Lovessy"
"2827","160 14th St",2016-03-10,2016-03-10,"Marigny Food Design, LLC"
"2828","475 6th St",2019-04-16,2019-04-17,"Umami Spoon"
"2829","222 2nd St",2017-08-01,2017-08-01,"Equator Coffees"
"2830","1575 42nd Ave Ave",2019-08-07,2019-08-07,"None"
"2831","800 Larkin St",2016-08-16,2016-08-16,"800 Larkin L.L.C."
"2832","330 O'farrell St",2016-09-16,2016-12-06,"Ono Sushi"
"2833","3321 Vicente St",2017-04-06,2017-04-06,"Mobilize Love"
"2834","1050 Valencia St",2018-06-08,2018-06-08,"Shabu House Valencia Inc."
"2835","150 Folsom St",2016-10-11,2021-12-15,"Sweetgreen La LLC"
"2836","270 Columbus Ave",2018-11-19,2022-03-14,"South Sea Dipper"
"2837","803 Cortland Ave",2019-08-15,2019-08-15,"Red Hill Station"
"2838","1661 Tennessee St",2019-05-01,2021-02-03,"Superfine Kitchen"
"2839","2512 Mission St",2019-09-18,2019-09-18,"Arcana"
"2840","244 Calfornia St 410",2018-08-21,2018-08-21,"Mg-350 Mission LLC"
"2841","1770 32nd Avenue",2019-08-21,2019-08-21,"Sissy's Bun Me"
"2842","601 Mission Bay Blvd North",2019-06-10,2020-10-23,"Aroy Thai"
"2843","1205 Bayside Dr Unit C",2019-07-25,2019-07-25,"Sf Dipped"
"2844","522 25th Ave Apt 4",2016-10-27,2016-10-27,"Istanbul Modern SF"
"2845","3410 Judah St",2019-06-11,2019-08-16,"Damn Fine"
"2846","S Van Ness Ave",2019-01-28,2019-01-28,"Grem's Good Dog"
"2847","1114 Lake St",2017-08-11,2022-01-10,"Obour Foods, LLC"
"2848","221 Harris Ct",2018-01-01,2018-01-01,"Taylor Freezers Of California"
"2849","1770 Pine St 501",2017-01-02,2017-01-02,"Roberto Campos"
"2850","1320 4th St",2019-07-01,2019-07-01,"Happy Lemon"
"2851","450 Rhode Island St",2018-02-25,2018-02-26,"Next Level Burger Company, Inc."
"2852","5800 Geary St",2018-02-01,2018-02-01,"Aziza"
"2853","3001 Kodiak St 203",2018-04-05,2018-04-05,"Wonder Philly"
"2854","781 Mission St",2016-03-11,2016-03-11,"Jackson Catering & Events"
"2855","5 Masonic Ave",2017-03-22,2017-03-22,"Mo'z Cafe S.F.,Inc"
"2856","2155 Bayshore Blvd",2018-06-29,2018-06-29,"Piccolo Pete"
"2857","648 Bush St",2016-12-13,2016-12-13,"Bao Down Gastrobar"
"2858","2761 21st St",2019-10-21,2020-03-13,"Coffeeshop"
"2859","425 Barneveld Ave",2016-09-01,2016-09-01,"Flourish Foods"
"2860","468 Castro St",2016-01-04,2019-04-08,"Bhoga"
"2861","5322 Geary Blvd",2018-12-27,2018-12-27,"Hong Kong Lounge"
"2862","29 Lee Ave",2018-01-04,2021-05-24,"Savor Her Flavors"
"2863","2512 Clement St",2019-03-01,2023-01-09,"Serendipity"
"2864","1115 Clement St",2016-01-15,2017-05-16,"Celestial Flame LLC"
"2865","320 Firecrest Ave",2019-09-01,2019-01-01,"Doordash"
"2866","2859 Mission St",2016-08-08,2016-08-08,"Bob's Falafel & Shawarma"
"2867","244 Clement St",2017-08-11,2019-01-31,"Obour Foods, LLC"
"2868","1411 18th St",2017-06-19,2017-08-09,"Trading Post Sweets"
"2869","1 Ferry Building 50",2017-03-01,2019-10-16,"Ginger Elizabeth Chocolates"
"2870","888 Brannan St",2017-09-01,2017-09-01,"Bulldog Coffee2sf"
"2871","399 Geary St",2018-02-12,2018-02-12,"Fernando Landicho"
"2872","3985 17th St",2019-10-24,2019-10-24,"Cafe De Casa"
"2873","1455 Market",2019-01-01,2019-01-01,"Caviar"
"2874","383 S Van Ness Ave Apt 3",2019-02-19,2019-02-19,"Ma Ma Ma Macaroons"
"2875","400 Haight St",2018-08-03,2018-08-03,"Kibatsu"
"2876","549 Irving St",2018-12-12,2019-09-22,"Local Food Hall"
"2877","103 Horn Ave",2018-08-21,2018-08-21,"Kabob Loverz"
"2878","760 2nd St",2019-08-26,2019-08-26,"Momo's"
"2879","50 Post St",2019-06-05,2019-10-22,"Kefir Lab"
"2880","18 Yerba Buena Ln",2017-08-03,2017-08-03,"Ippudo"
"2881","2355 Chestnut St",2018-05-07,2018-05-07,"David Torres Arambula"
"2882","242-244 Gough St",2016-12-01,2017-02-17,"Tartine Talbot Cafe"
"2883","Golden Gate Bridge Plaza",2017-08-01,2021-09-02,"Equator Coffees"
"2884","1596 Market St",2018-10-25,2018-10-25,"Crossroads Pizzeria Cafe"
"2885","100 Upper Loop Road, 5th Floor Rd I-5-047",2016-12-23,2018-03-21,"Flik International Corporation"
"2886","300 Mission St # 102",2018-06-28,2021-07-30,"Mendocino Farms"
"2887","716 Grant Ave",2018-05-24,2018-06-01,"Snow Garden Express"
"2888","16941 Harvard Ave",2019-07-16,2019-07-16,"S&A Brothers"
"2889","1196 Folsom St",2018-04-24,2018-04-24,"Jmn & Aa LLC/El Capitan Taqueria 1"
"2890","3911 Alemany Blvd 1001",2019-12-03,2019-12-03,"Extreme Pizza"
"2891","124 Kirkwood Ave",2018-12-03,2020-01-16,"Gumbo Social"
"2892","1501 Vermont St A",2019-05-01,2019-05-01,"Live Zola, LLC"
"2893","694 Valencia St",2018-11-01,2023-09-28,"Shen's Porridge"
"2894","555 Folsom St",2019-05-30,2019-05-30,"Dragoneats"
"2895","4316 Balboa Street",2018-02-13,2018-02-13,"Stew Lab"
"2896","2095 Chestnut St",2019-05-29,2019-05-29,"Glaze Teriyaki"
"2897","320 11th St",2018-05-14,2018-05-14,"Seniores Pizza"
"2898","24 Jasper Place",2017-04-28,2017-04-28,"Delivered"
"2899","2871 24th St",2019-11-08,2019-11-08,"L's Caffe"
"2900","711 Fillmore St",2018-02-21,2018-02-21,"Alamo Square Cafe"
"2901","1362 Funston St Apt 1",2019-04-05,2019-04-05,"Resistance Pies"
"2902","438 Flood Ave",2018-10-17,2018-10-17,"Boost Box"
"2903","31 Cambon Dr",2018-06-28,2018-06-28,"Fangyuan Kitchen"
"2904","191 Pine St",2018-03-20,2018-03-20,"Tarara Restaurant + Bar"
"2905","Sloat Blvd Ste 189",2018-04-25,2018-04-25,"Ushitaro"
"2906","1524 18 Th Ave.",2016-09-09,2016-09-09,"Eliseevski"
"2907","103 Waverly Pl",2018-09-13,2018-09-13,"Cool Tea Bar Waverly"
"2908","6270 Overland Ave",2018-01-23,2020-02-01,"Wezy"
"2909","276 5th St",2018-01-03,2019-08-29,"Tycoon Kitchen & Catering"
"2910","270 Noe St",2018-03-15,2018-03-15,"Slow Brine"
"2911","18 Fairview Ave",2018-09-18,2018-09-18,"Francis Eugene Ferrer"
"2912","130 Gardenside Dr Apt 304",2018-05-30,2018-05-30,"Cliffside Cakes"
"2913","3420 18th Ave",2018-08-20,2018-08-20,"Brew Cha"
"2914","450 Irving St A",2017-04-01,2017-04-01,"Lime Tree"
"2915","338 Grant Ave",2019-02-28,2019-02-28,"Amorino Gelato"
"2916","1616 69th Ave",2018-08-01,2018-08-01,"Kure"
"2917","663 Union St",2016-04-20,2016-04-20,"663 Union St"
"2918","55 Division St",2018-09-12,2024-05-16,"R&P"
"2919","2763 Mission St",2018-01-31,2018-01-31,"Casa De La Condesa"
"2920","1661 Tennessee St 2j",2016-07-05,2018-12-03,"Good Use"
"2921","2623 San Bruno Ave",2018-09-15,2018-09-15,"Ramen House Inc"
"2922","1658 45th Ave",2018-10-14,2018-10-19,"Sunset Roasters"
"2923","115 New Montgomery St",2016-08-10,2016-08-10,"The Bird"
"2924","1708 Laguna St",2017-03-23,2021-02-01,"Kiss Seafood"
"2925","799 Valencia St",2019-06-01,2019-06-01,"Yasmin"
"2926","500 Vernon St 111",2019-07-01,2019-07-01,"Hotbird"
"2927","1760 Cesar Chavez Ste D",2018-08-23,2018-08-23,"Avocado & Company LLC"
"2928","50 Fremont St Fl 40/41",2017-12-27,2019-03-14,"Aramark Rfs At Salesforce"
"2929","1 Ferry Plz Bldg Kio",2017-08-14,2024-01-29,"Boug Cali Polo Stop"
"2930","2154 Irving St",2016-03-01,2016-03-01,"Wok Station Inc"
"2931","3318 Fillmore St",2019-04-28,2022-10-31,"Westwood"
"2932","385 Taylor St",2017-03-15,2017-03-15,"Million Thai Restaurant"
"2933","481 Huntington Ave",2019-03-19,2019-03-19,"Cafe Dolci"
"2934","2097 Mission St",2017-12-13,2017-12-13,"La Canasta Produce"
