"","Building Address","Year Built","analysis_neighborhood","supervisor_district"
"517","50 PIER SHED C",1900,"Mission Bay",6
"518","415 MISSION ST",2018,"Financial District/South Beach",6
"519","139 TOWNSEND ST",1909,"Mission Bay",6
"520","1400 16TH ST",1938,"Mission Bay",6
"521","1675 HOWARD ST",1905,"Mission",6
"522","633 HOWARD ST",1910,"Financial District/South Beach",6
"523","3840 18TH ST",NA,"Castro/Upper Market",8
"524","700 TOLAND ST.",1968,"Bayview Hunters Point",10
"525","1369 HYDE ST",1911,"Russian Hill",3
"526","2 HENRY ADAMS ST",1915,"Mission Bay",6
"527","2550 VAN NESS AVE",1959,"Russian Hill",3
"528","3101 3RD ST",1985,"Bayview Hunters Point",10
"529","1600 TENNESSEE ST",1965,"Bayview Hunters Point",10
"530","199 NEW MONTGOMERY ST",2004,"Financial District/South Beach",6
"531","2130 POST ST",1969,"Japantown",5
"532","101 HARRISON ST",1996,"Financial District/South Beach",6
"533","240 KEARNY ST",1906,"Financial District/South Beach",3
"534","601 GRANT AVE",1907,"Chinatown",3
"535","270 5TH ST",2012,"South of Market",6
"536","1100 OAK ST",1983,"Hayes Valley",5
"537","847 SANSOME ST",1983,"North Beach",3
"538","2900 ALEMANY BLVD",1961,"Outer Mission",11
"539","1800 SUTTER ST",1975,"Pacific Heights",5
"540","2 EMBARCADERO CENTER",1974,"Financial District/South Beach",3
"541","388 Market Street",1987,"Financial District/South Beach",3
"542","639 GEARY ST",NA,"Tenderloin",5
"543","149 9TH ST",1923,"South of Market",6
"544","212 STOCKTON ST",1987,"Financial District/South Beach",3
"545","1073 MARKET ST",1913,"South of Market",6
"546","343 SANSOME ST",1991,"Financial District/South Beach",3
"547","281 Masonic Ave",1911,"Lone Mountain/USF",1
"548","130 BUSH ST",1910,"Financial District/South Beach",3
"549","1083 MARKET ST",1912,"South of Market",6
"550","1878 HAIGHT ST.",1961,"Haight Ashbury",5
"551","1219 HARRISON ST",2004,"South of Market",6
"552","255 BERRY ST",2004,"Mission Bay",6
"553","201 6TH ST",1907,"South of Market",6
"554","848 Kearny St",2005,"Chinatown",3
"555","442 POST ST",1925,"Nob Hill",3
"556","410 BUSH ST",1915,"Financial District/South Beach",3
"557","2850 ALEMANY BLVD",0,"Outer Mission",11
"558","340 STOCKTON ST",1984,"Financial District/South Beach",3
"559","10 GEARY ST",1907,"Financial District/South Beach",3
"560","1355 FAIRFAX AVE",1987,"Bayview Hunters Point",10
"561","132 GEARY ST",1908,"Financial District/South Beach",3
"562","790 ELLIS ST",0,"Tenderloin",5
"563","550 3RD ST",1921,"South of Market",6
"564","4840 MISSION ST",1925,"Outer Mission",11
"565","750 BATTERY ST",1986,"Financial District/South Beach",3
"566","3050 23RD ST",1964,"Mission",9
"567","139 LAKE MERCED BLVD",1975,"Lakeshore",7
"568","455 MARKET ST",1900,"Financial District/South Beach",6
"569","1585 FOLSOM ST",1926,"Mission",6
"570","8 MISSION ST",2004,"Financial District/South Beach",3
"571","1745 FOLSOM ST",1942,"Mission",9
"572","301 KING ST",2006,"Mission Bay",6
"573","2051 3rd Street",2017,"Potrero Hill",10
"574","205 2ND ST",1906,"Financial District/South Beach",6
"575","325 CHINA BASIN ST",2008,"Mission Bay",6
"576","1500 OWENS ST",2009,"Mission Bay",6
"577","1333 Bush St",NA,"Nob Hill",3
"578","530 BUSH ST",1982,"Financial District/South Beach",3
"579","900 KEARNY ST",1989,"Chinatown",3
"580","529 COMMERCIAL ST",0,"Chinatown",3
"581","400 FONT BLVD",1942,"Lakeshore",7
"582","5880 3rd Street",NA,"Bayview Hunters Point",10
"583","750 MARKET ST",1908,"Financial District/South Beach",3
"584","1230 MARKET ST",1907,"Tenderloin",6
"585","670 Natoma St",2002,"South of Market",6
"586","2120 Polk St",1928,"Russian Hill",3
"587","455 9TH ST",1924,"South of Market",6
"588","1751 CARROLL AVE",NA,"Bayview Hunters Point",10
"589","255 King St",NA,"Mission Bay",6
"590","1595 VAN NESS AVE",1913,"Western Addition",2
"591","345 CALIFORNIA ST",1987,"Financial District/South Beach",3
"592","690 POTRERO AVE",1932,"Mission",9
"593","350 BRANNAN ST",1929,"Financial District/South Beach",6
"594","888 O'FARRELL ST",1988,"Tenderloin",5
"595","1340 LOMBARD ST",1927,"Russian Hill",3
"596","666 VALENCIA ST",NA,"Mission",9
"597","660 CALIFORNIA ST",1966,"Chinatown",3
"598","1300 COLUMBUS AVE",1970,"North Beach",3
"599","1160 BATTERY ST",1982,"Financial District/South Beach",3
"600","1200 MISSISSIPPI ST",1986,"Bayview Hunters Point",10
"601","2600 16TH ST",2001,"Mission",9
"602","525 HARRISON ST",1982,"Financial District/South Beach",6
"603","706 MISSION ST",1906,"Financial District/South Beach",6
"604","501 POST STREET",1970,"Tenderloin",3
"605","925 STOCKTON ST",1907,"Chinatown",3
"606","141 TAYLOR ST",2005,"Tenderloin",5
"607","645 STOCKTON ST",1928,"Nob Hill",3
"608","490 2ND ST",1924,"Financial District/South Beach",6
"609","737 BEACH ST",1948,"Russian Hill",2
"610","386 GEARY ST",1909,"Tenderloin",3
"611","801 HOWARD ST",1970,"South of Market",6
"612","2835 GEARY BLVD",1981,"Lone Mountain/USF",2
"613","536 MISSION ST",0,"Financial District/South Beach",6
"614","145 NATOMA ST",1971,"Financial District/South Beach",6
"615","1101 4TH ST",NA,"Mission Bay",6
"616","2300 SUTTER ST",1965,"Pacific Heights",2
"617","180 TOWNSEND ST",1900,"Financial District/South Beach",6
"618","99 BATTERY ST",1908,"Financial District/South Beach",3
"619","17 BLUXOME ST",0,"South of Market",6
"620","5290 DIAMOND HEIGHTS BLVD",1964,"Glen Park",8
"621","168 BLUXOME ST",2009,"Mission Bay",6
"622","1444 MARKET ST",1913,"Tenderloin",6
"623","420 SUTTER ST",1909,"Financial District/South Beach",3
"624","1234 INDIANA ST",1969,"Potrero Hill",10
"625","705 NATOMA ST",1994,"South of Market",6
"626","1591 JACKSON ST",1986,"Russian Hill",3
"627","215 FREMONT ST",1928,"Financial District/South Beach",6
"628","155 HAYES ST",1959,"Tenderloin",6
"629","346 1ST ST",1996,"Financial District/South Beach",6
"630","170 KING ST",2007,"Mission Bay",6
"631","43 COLUMBIA SQUARE ST",0,"South of Market",6
"632","120 MONTGOMERY ST",1955,"Financial District/South Beach",3
"633","3000 16TH ST",1910,"Mission",9
"634","201 POST ST",1909,"Financial District/South Beach",3
"635","2 FALLON PL",1980,"Nob Hill",3
"636","60 SPEAR ST",1967,"Financial District/South Beach",6
"637","347 DOLORES ST",1907,"Mission",8
"638","150 EXECUTIVE PARK BLVD",1982,"Bayview Hunters Point",10
"639","1000 16TH ST",1919,"Mission Bay",6
"640","5 COMMER CT",1976,"Bayview Hunters Point",10
"641","1425 SANSOME ST",1982,"Financial District/South Beach",3
"642","1472 FILBERT ST",1927,"Russian Hill",3
"643","2075 SUTTER ST",1992,"Japantown",5
"644","114 SANSOME ST",1908,"Financial District/South Beach",3
"645","233 POST ST",1908,"Financial District/South Beach",3
"646","475 BRANNAN ST",1908,"South of Market",6
"647","850 POWELL ST",1978,"Chinatown",3
"648","1528 PINE ST",1922,"Nob Hill",3
"649","1015 VAN NESS AVE",2004,"Western Addition",2
"650","2027 MISSION ST",1981,"Mission",9
"651","1239 TURK ST",2016,"Western Addition",5
"652","141 INDUSTRIAL ST",1960,"Bayview Hunters Point",10
"653","151 3RD ST",2015,"Financial District/South Beach",6
"654","327 GRANT AVE",NA,"Financial District/South Beach",3
"655","285 WINSTON DR",1988,"Lakeshore",7
"656","44 MCALLISTER ST",1923,"Tenderloin",5
"657","650 5TH ST",1924,"Mission Bay",6
"658","116 NATOMA ST",1910,"Financial District/South Beach",6
"659","1668 PINE ST",2016,"Western Addition",2
"660","766 HARRISON ST",2008,"South of Market",6
"661","351 TURK ST",1928,"Tenderloin",5
"662","680 Indiana St",2017,"Potrero Hill",10
"663","2095 CALIFORNIA ST",1975,"Pacific Heights",5
"664","1301 SANSOME ST",1907,"North Beach",3
"665","238 KING ST",2004,"Mission Bay",6
"666","1275 FAIRFAX AVE",1986,"Bayview Hunters Point",10
"667","1880 PINE ST",1900,"Pacific Heights",2
"668","491 POST ST",1913,"Tenderloin",3
"669","1750 CESAR CHAVEZ",1986,"Bayview Hunters Point",10
"670","1050 SANSOME ST",1906,"Financial District/South Beach",3
"671","350 RHODE ISLAND ST - SOUTH",2002,"Mission Bay",10
"672","1101 GREEN ST",1930,"Russian Hill",3
"673","3001 TARAVAL ST",1946,"Sunset/Parkside",4
"674","19 CLEMENTINA ST",2005,"Financial District/South Beach",6
"675","222 Taylor St",2019,"Tenderloin",5
"676","1880 JACKSON ST",1930,"Pacific Heights",2
"677","1063 CAPITOL AVE",1985,"Oceanview/Merced/Ingleside",11
"678","364 BUSH ST",1907,"Financial District/South Beach",3
"679","780 FULTON ST",1971,"Western Addition",5
"680","500 WISCONSIN ST",1978,"Potrero Hill",10
"681","1875 MARIN ST",2003,"Bayview Hunters Point",10
"682","930 PINE ST",1973,"Nob Hill",3
"683","200 BRANNAN ST",2004,"Financial District/South Beach",6
"684","255 CALIFORNIA ST",1958,"Financial District/South Beach",3
"685","4 EMBARCADERO CENTER",1979,"Financial District/South Beach",3
"686","77 DOW PL",2002,"Financial District/South Beach",6
"687","2100 GREEN ST",NA,"Marina",2
"688","710 LA PLAYA",1984,"Outer Richmond",1
"689","55 FRANCISCO ST",0,"North Beach",3
"690","3700 GEARY BLVD",1900,"Inner Richmond",1
"691","351 KING ST",2006,"Mission Bay",6
"692","255 Broadway St",2015,"Financial District/South Beach",3
"693","1334 STOCKTON ST",1907,"Chinatown",3
"694","19 STOCKTON ST",1910,"Financial District/South Beach",3
"695","1025 MARKET ST.",0,"South of Market",6
"696","1750 MCALLISTER ST",1974,"Western Addition",5
"697","1049 GOLDEN GATE AVE",1973,"Western Addition",5
"698","149 BLUXOME ST",1916,"Mission Bay",6
"699","420 MAIN ST",1991,"Financial District/South Beach",6
"700","260 TOWNSEND ST",1986,"South of Market",6
"701","401 ANZA ST",NA,"Lone Mountain/USF",1
"702","1028 Market Street",2022,"Tenderloin",5
"703","520 DAVIS ST",1981,"Financial District/South Beach",3
"704","535 MISSION ST",2014,"Financial District/South Beach",6
"705","455 FRANKLIN ST",1983,"Hayes Valley",5
"706","1019 CLEMENT ST",1919,"Inner Richmond",1
"707","1700 CALIFORNIA ST",1988,"Pacific Heights",2
"708","835 HOWARD ST",1907,"South of Market",6
"709","942 MISSION ST",1929,"South of Market",6
"710","200 BERRY ST",2009,"Mission Bay",6
"711","44 GOUGH ST",1906,"Mission",6
"712","1770 POST ST",2005,"Japantown",5
"713","1135 McAllister St",1971,"Western Addition",5
"714","100 CALIFORNIA ST",1959,"Financial District/South Beach",3
"715","500 TERRY FRANCOIS BLVD",2008,"Mission Bay",6
"716","982 MARKET ST",0,"Tenderloin",5
"717","3905 SACRAMENTO ST",1960,"Presidio Heights",2
"718","1200 VAN NESS AVE",1911,"Nob Hill",3
"719","533 SUTTER ST",1921,"Nob Hill",3
"720","2055 FOLSOM ST",1980,"Mission",9
"721","425 NORTH POINT ST",1990,"North Beach",3
"722","55 CHUMASERO DR",1949,"Lakeshore",7
"723","2700 3RD ST",1970,"Potrero Hill",10
"724","601 EDDY ST",1956,"Tenderloin",5
"725","323 PACIFIC AVE",1907,"Chinatown",3
"726","1600 DONNER AVE",1962,"Bayview Hunters Point",10
"727","101 WILLIAMS AVE",1946,"Bayview Hunters Point",10
"728","3140 MISSION ST",1929,"Bernal Heights",9
"729","22 Fourth Street",NA,"South of Market",6
"730","40 JESSIE ST",1913,"Financial District/South Beach",6
"731","649 GREEN ST",1907,"Chinatown",3
"732","965 SUTTER ST",NA,"Nob Hill",3
"733","301 CRESCENT CT",2007,"Bayview Hunters Point",10
"734","4041 GEARY BLVD",1947,"Inner Richmond",1
"735","299 SECOND STREET",1900,"Financial District/South Beach",6
"736","195 ERIE ST",1953,"Mission",9
"737","111 TOWNSEND ST",1911,"Mission Bay",6
"738","405 HOWARD ST",2003,"Financial District/South Beach",6
"739","655 BEACH ST",1973,"Russian Hill",3
"740","325 BROADWAY",1921,"North Beach",3
"741","574 PACIFIC AVE",1907,"North Beach",3
"742","501 CRESCENT CT",2006,"Bayview Hunters Point",10
"743","1990 OCEAN AVE",1930,"West of Twin Peaks",7
"744","2 CONNECTICUT ST",1922,"Mission Bay",10
"745","490 GEARY ST",1912,"Tenderloin",3
"746","695 MINNESOTA ST",1948,"Potrero Hill",10
"747","640 SUTTER ST",1916,"Nob Hill",3
"748","2295 BUSH ST",NA,"Pacific Heights",5
"749","2225 FOLSOM ST",1946,"Mission",9
"750","1350 17th St",1979,"Mission Bay",10
"751","1355 FRANKLIN ST",1905,"Western Addition",2
"752","860 EDDY ST",1959,"Western Addition",2
"753","234 FRONT ST",1927,"Financial District/South Beach",3
"754","2030 HARRISON ST",1907,"Mission",9
"755","311 CALIFORNIA ST",1910,"Financial District/South Beach",3
"756","874 HARRISON ST",1922,"South of Market",6
"757","5050 MISSION ST",2017,"Outer Mission",11
"758","2001 CALIFORNIA ST",1930,"Pacific Heights",5
"759","797 BUSH ST",1912,"Nob Hill",3
"760","48 GOLDEN GATE AVE",1911,"Tenderloin",5
"761","959 MISSION ST",1906,"South of Market",6
"762","2351 Clay St",1972,"Pacific Heights",2
"763","550 KEARNY ST",1975,"Financial District/South Beach",3
"764","2100 PACIFIC AVE",NA,"Pacific Heights",2
"765","510 TOWNSEND ST",2017,"South of Market",6
"766","55 UNION ST",1900,"Financial District/South Beach",3
"767","300 MASON ST",1908,"Tenderloin",3
"768","233 FRANKLIN ST",2010,"Hayes Valley",5
"769","1161 MISSION ST",1924,"South of Market",6
"770","1621 MARKET ST",2021,"Mission",6
"771","530 HOWARD ST",1908,"Financial District/South Beach",6
"772","1650 JACKSON ST",1991,"Russian Hill",3
"773","80 Pier - Service Building",0,"Bayview Hunters Point",10
"774","250 BRANNAN ST",1907,"Financial District/South Beach",6
"775","1900 VAN NESS AVE",1919,"Russian Hill",3
"776","2055 BRYANT ST",0,"Mission",9
"777","860 BUSH ST",1913,"Nob Hill",3
"778","141 2ND ST",1907,"Financial District/South Beach",6
"779","407 SANCHEZ ST",1900,"Castro/Upper Market",8
"780","3355 SACRAMENTO ST",1900,"Presidio Heights",2
"781","151 UNION ST",1914,"Financial District/South Beach",3
"782","548 4TH ST",1919,"South of Market",6
"783","5655 MISSION ST",1939,"Excelsior",11
"784","801 MONTGOMERY ST",1987,"Chinatown",3
"785","2040 SUTTER ST",1984,"Pacific Heights",5
"786","560 BARNEVELD AVE",1955,"Bayview Hunters Point",10
"787","363 CLEMENTINA ST",1957,"South of Market",6
"788","595 Buckingham Way",1948,"Lakeshore",4
"789","65 10TH ST",NA,"South of Market",6
"790","680 CALIFORNIA ST",1906,"Chinatown",3
"791","375 ALABAMA ST",1926,"Mission",9
"792","28 2ND ST",1914,"Financial District/South Beach",6
"793","1450 LOMBARD ST",1968,"Marina",2
"794","3159 16TH ST",1912,"Mission",9
"795","55 2ND ST",2002,"Financial District/South Beach",6
"796","301 ELLIS ST",2000,"Tenderloin",5
"797","350 ELLIS ST",1970,"Tenderloin",5
"798","500 3RD ST STE. 505",1927,"South of Market",6
"799","360 BAY ST",1968,"North Beach",3
"800","100 APPLETON AVE",1940,"Bernal Heights",9
"801","340 PINE ST",1928,"Financial District/South Beach",3
"802","201 CALIFORNIA ST",1980,"Financial District/South Beach",3
"803","678 GREEN ST",1912,"Chinatown",3
"804","353 KING ST",2009,"Mission Bay",6
"805","600 BATTERY ST",1927,"Financial District/South Beach",3
"806","131 STEUART ST",1907,"Financial District/South Beach",6
"807","1750 GENEVA AVE",1996,"Excelsior",11
"808","153 TOWNSEND ST",2002,"Mission Bay",6
"809","25 POINT LOBOS AVE",1996,"Outer Richmond",1
"810","425 First St",2008,"Financial District/South Beach",6
"811","1881 PINE ST",1937,"Pacific Heights",5
"812","408 COLUMBUS AVE",1924,"North Beach",3
"813","225 Berry Street",2005,"Mission Bay",6
"814","50 RIZAL ST",1979,"South of Market",6
"815","555 CALIFORNIA ST",1969,"Financial District/South Beach",3
"816","1080 CHESTNUT ST",1962,"Russian Hill",2
"817","301 EXECUTIVE PARK BLVD",2010,"Bayview Hunters Point",10
"818","2203 3RD ST",1919,"Potrero Hill",10
"819","500 2ND ST",1919,"Financial District/South Beach",6
"820","700 EDDY ST",1965,"Tenderloin",5
"821","243 Rey St",2000,"Visitacion Valley",10
"822","400 LAGUNA ST",2015,"Hayes Valley",5
"823","1 GRANT AVE",1910,"Financial District/South Beach",3
"824","608 FOLSOM ST",1922,"Financial District/South Beach",6
"825","720 MARKET ST",1990,"Financial District/South Beach",3
"826","123-131 10th St.",1929,"South of Market",6
"827","661 BROADWAY",1963,"Chinatown",3
"828","601 BROADWAY",1913,"Chinatown",3
"829","51 GRANT AVE",1909,"Financial District/South Beach",3
"830","33 NEW MONTGOMERY ST",1986,"Financial District/South Beach",6
"831","546 BROADWAY",1907,"North Beach",3
"832","39 TAYLOR ST",1906,"Tenderloin",5
"833","2090 PACIFIC AVE",1928,"Pacific Heights",2
"834","1126 HOWARD ST",1930,"South of Market",6
"835","110 Sutter Street",1906,"Financial District/South Beach",3
"836","2727 MARIPOSA ST.",1923,"Mission",9
"837","1570 SUTTER ST",1900,"Pacific Heights",2
"838","1828 GENEVA AVE",2007,"Excelsior",11
"839","353 SACRAMENTO ST",1982,"Financial District/South Beach",3
"840","1061 MARKET ST",1910,"South of Market",6
"841","417 MONTGOMERY ST",1936,"Financial District/South Beach",3
"842","565 SOUTH VAN NESS AVE",1955,"Mission",9
"843","2700 45TH AVE",1974,"Sunset/Parkside",4
"844","150 HAYES ST",1968,"Tenderloin",6
"845","225 POST ST",1909,"Financial District/South Beach",3
"846","1500 HOWARD ST",1930,"Mission",6
"847","1 ARKANSAS ST",1922,"Mission Bay",10
"848","550 TERRY FRANCOIS STREET",2002,"Mission Bay",6
"849","625 SUTTER ST",1921,"Nob Hill",3
"850","840 POWELL ST",1914,"Chinatown",3
"851","425 BATTERY ST",0,"Chinatown",3
"852","350 TREAT AVE",1944,"Mission",9
"853","624 VALLEJO ST",1900,"North Beach",3
"854","1137 FOLSOM ST",1984,"South of Market",6
"855","114 POWELL ST",1908,"Financial District/South Beach",3
"856","1111 17TH ST",1948,"Potrero Hill",10
"857","50 PIER",1900,"Mission Bay",6
"858","1375 MISSION ST",1929,"South of Market",6
"859","1445 LA SALLE AVE",1978,"Bayview Hunters Point",10
"860","200 BUSH ST",1912,"Financial District/South Beach",3
"861","2141 Chestnut St",1928,"Marina",2
"862","640 2ND ST",1925,"Financial District/South Beach",6
"863","1135 STEINER ST",1977,"Western Addition",5
"864","500 Folsom St",2019,"Financial District/South Beach",6
"865","345 STOCKTON ST",1972,"Financial District/South Beach",3
"866","1045 SANSOME ST",1926,"North Beach",3
"867","366-370 TURK ST",1923,"Tenderloin",5
"868","2140 WEBSTER ST",1987,"Pacific Heights",2
"869","770 GOLDEN GATE AVE",1973,"Western Addition",2
"870","22 TERRA VISTA AVE",1955,"Lone Mountain/USF",2
"871","2180 HARRISON ST",1989,"Mission",9
"872","531 BRYANT ST",1918,"South of Market",6
"873","23 Pier",1900,"Financial District/South Beach",3
"874","645 BRYANT ST",1954,"South of Market",6
"875","544 2ND ST",1923,"Financial District/South Beach",6
"876","633 FOLSOM ST",1967,"Financial District/South Beach",6
"877","1430 VAN NESS",1912,"Nob Hill",3
"878","740 BUCHANAN ST",1975,"Hayes Valley",5
"879","2850 VAN NESS AVE",1955,"Russian Hill",3
"880","185 BERRY ST",1920,"Mission Bay",6
"881","1 CRESCENT WAY",2001,"Bayview Hunters Point",10
"882","2550 MISSION ST",1907,"Mission",9
"883","501 DONAHUE ST",NA,"Bayview Hunters Point",10
"884","44 PAGE ST",1912,"Hayes Valley",6
"885","1663 MISSION ST",1925,"Mission",6
"886","1340 HUDSON AVE",1900,"Bayview Hunters Point",10
"887","580 GEARY ST",1913,"Tenderloin",3
"888","2001 VAN NESS AVE",1920,"Pacific Heights",2
"889","901 BATTERY ST",1923,"Financial District/South Beach",3
"890","750 FLORIDA ST",1923,"Mission",9
"891","1182 MARKET ST",1925,"Tenderloin",5
"892","3175 18TH ST",1947,"Mission",9
"893","2480 MISSION ST",1973,"Mission",9
"894","185 6TH ST",1907,"South of Market",6
"895","1355 Golden Gate Ave",1974,"Western Addition",5
"896","1699 MARKET ST",1954,"Mission",6
"897","1645 PACIFIC AVE",2014,"Russian Hill",3
"898","90 Kiska Rd",NA,"Bayview Hunters Point",10
"899","612 ALABAMA ST",1914,"Mission",9
"900","1240 MARKET ST",1908,"Tenderloin",6
"901","1330 16TH ST",NA,"Mission Bay",6
"902","657 COMMERCIAL ST",1907,"Chinatown",3
"903","200 6TH ST",1909,"South of Market",6
"904","1190 MISSION ST",NA,"South of Market",6
"905","303 2ND ST",1988,"Financial District/South Beach",6
"906","1023 03RD ST",2023,"Mission Bay",6
"907","2790 MISSION ST",1917,"Mission",9
"908","1201 EVANS AVE",1986,"Bayview Hunters Point",10
"909","216 PINE ST",1907,"Financial District/South Beach",3
"910","2000 WASHINGTON ST",NA,"Pacific Heights",2
"911","37 Grove St",1924,"Tenderloin",6
"912","280 Beale St",2015,"Financial District/South Beach",6
"913","640 SACRAMENTO ST",1907,"Chinatown",3
"914","1540 MARKET ST",1920,"Hayes Valley",6
"915","840 BATTERY ST",1931,"Financial District/South Beach",3
"916","3950 19TH AVE",1953,"Oceanview/Merced/Ingleside",11
"917","1925 GOUGH ST",NA,"Pacific Heights",2
"918","1310 JONES ST",1955,"Nob Hill",3
"919","1701 VAN NESS AVE",1917,"Pacific Heights",2
"920","400 NORTH POINT ST",1958,"North Beach",3
"921","498 Castro St",1900,"Castro/Upper Market",8
"922","1491 Sunnydale Ave",NA,"Visitacion Valley",10
"923","1900 UNION ST",1970,"Marina",2
"924","980 HOWARD ST",1998,"South of Market",6
"925","132 HAWTHORNE ST",1948,"Financial District/South Beach",6
"926","128 KING ST",1913,"Mission Bay",6
"927","80 CAROLINA ST",1984,"Mission Bay",6
"928","1189 POTRERO AVE",1997,"Mission",10
"929","745 Clement St",2002,"Inner Richmond",1
"930","1661 MISSION ST",1935,"Mission",6
"931","1900 NORIEGA ST",1975,"Sunset/Parkside",4
"932","43 LANSING ST",1961,"Financial District/South Beach",6
"933","101 TOWNSEND ST",1913,"Mission Bay",6
"934","400 MONTGOMERY ST",1901,"Financial District/South Beach",3
"935","77 BATTERY ST",1907,"Financial District/South Beach",3
"936","104 9TH ST",1926,"South of Market",6
"937","825 HOWARD ST",2007,"South of Market",6
"938","1101 GREENWICH ST",1911,"Russian Hill",3
"939","200 CALIFORNIA ST",1988,"Financial District/South Beach",3
"940","960 HOWARD ST",1920,"South of Market",6
"941","200 W Portal Ave",1931,"West of Twin Peaks",7
"942","870 MARKET ST",1907,"Financial District/South Beach",3
"943","555 FLORIDA ST",1923,"Mission",9
"944","710 SANSOME ST",1907,"Chinatown",3
"945","3 EMBARCADERO CENTER",1976,"Financial District/South Beach",3
"946","95 Laguna Street",NA,"Hayes Valley",8
"947","55 NATOMA ST",1908,"Financial District/South Beach",6
"948","1717 HARRISON ST",0,"Mission",6
"949","648 PACIFIC AVE",1911,"Chinatown",3
"950","1400 VAN NESS AVE",1913,"Nob Hill",3
"951","1001 PINE ST",1963,"Nob Hill",3
"952","895 PACIFIC AVE",1950,"Chinatown",3
"953","2398 PACIFIC AVE",1927,"Pacific Heights",2
"954","88 1ST ST",1907,"Financial District/South Beach",6
"955","552 BRANNAN ST",1923,"South of Market",6
"956","2500 16th St.",1925,"Mission",9
"957","135 MAIN ST",0,"Financial District/South Beach",6
"958","601 OFARRELL ST",1928,"Tenderloin",5
"959","222 SUTTER ST",1908,"Financial District/South Beach",3
"960","1475 MISSION ST",1975,"South of Market",6
"961","100 VAN NESS AVE",2015,"Tenderloin",6
"962","101 MARKET ST",1982,"Financial District/South Beach",6
"963","50 FREMONT ST",1985,"Financial District/South Beach",6
"964","3490 CALIFORNIA ST",2000,"Presidio Heights",2
"965","325 BATTERY ST",1989,"Chinatown",3
"966","521 JESSIE ST",NA,"South of Market",6
"967","220 CASHMERE ST",NA,"Bayview Hunters Point",10
"968","450 SUTTER ST",1929,"Financial District/South Beach",3
"969","66 TURK ST",1907,"Tenderloin",5
"970","587 Eddy Street",1925,"Tenderloin",5
"971","77 FEDERAL ST",2020,"Financial District/South Beach",6
"972","495 GEARY ST",1913,"Tenderloin",3
"973","1591 PACIFIC AVE",2013,"Russian Hill",3
"974","5545 3RD ST",1999,"Bayview Hunters Point",10
"975","321 11TH ST",1907,"South of Market",6
"976","77 STILLMAN ST",1944,"Financial District/South Beach",6
"977","1511 15TH ST",2014,"Mission",9
"978","875 HOWARD ST",1920,"South of Market",6
"979","8 LOCKSLEY AVE",1961,"Inner Sunset",7
"980","690 5TH ST",1983,"Mission Bay",6
"981","220 SAN BRUNO AVE",1961,"Mission",6
"982","1050 BATTERY ST",1907,"Financial District/South Beach",3
"983","1212 MARKET ST",1907,"Tenderloin",6
"984","336-344 Mason Street",1968,"Tenderloin",3
"985","1 GARCES DR",NA,"Lakeshore",7
"986","717 BATTERY ST",1907,"Financial District/South Beach",3
"987","1320 GOLDEN GATE AVE",1941,"Western Addition",5
"988","730 HARRISON ST",1988,"South of Market",6
"989","2450 17TH ST",1913,"Mission",9
"990","30 Otis Street",2021,"Mission",6
"991","150 FRANCISCO ST",1983,"North Beach",3
"992","231 GRANT AVE",1907,"Financial District/South Beach",3
"993","391 SUTTER ST",1908,"Financial District/South Beach",3
"994","150 VAN NESS AVE",1925,"Tenderloin",6
"995","405 TAYLOR ST",1924,"Tenderloin",5
"996","375 NEWHALL ST",1988,"Bayview Hunters Point",10
"997","415 GEARY ST",1909,"Tenderloin",3
"998","1817 EDDY ST",1991,"Western Addition",5
"999","121 STEUART ST",1984,"Financial District/South Beach",6
"1000","1000 BRANNAN ST",1924,"South of Market",6
"1001","1890 CLAY ST",1962,"Pacific Heights",2
"1002","620 FOLSOM ST",1922,"Financial District/South Beach",6
"1003","5830 3RD ST",2010,"Bayview Hunters Point",10
"1004","4800 MISSION ST",1952,"Outer Mission",11
"1005","2 TOWNSEND ST",1989,"Financial District/South Beach",6
"1006","1475 LOMBARD ST",1971,"Marina",2
"1007","1200 BUCHANAN ST",2001,"Western Addition",5
"1008","1730 VAN NESS AVE",1919,"Nob Hill",3
"1009","1000 NORTH POINT ST",1963,"Russian Hill",2
"1010","2235 HAYES ST",1966,"Lone Mountain/USF",5
"1011","2150 CESAR CHAVEZ ST",1942,"Bayview Hunters Point",10
"1012","500 RAYMOND AVE",2002,"McLaren Park",10
"1013","711 EDDY ST",1979,"Tenderloin",5
"1014","2050-2070 FOLSOM ST",2021,"Mission",9
"1015","325 MASON",1955,"Tenderloin",3
"1016","1776 SACRAMENTO ST",1920,"Nob Hill",3
"1017","3101 19TH ST",1913,"Mission",9
"1018","302 ELLIS ST",1930,"Tenderloin",5
"1019","475 6TH ST",1927,"South of Market",6
"1020","441 MASON ST",NA,"Tenderloin",3
"1021","1035 MARKET ST",1912,"South of Market",6
"1022","1750 HARRISON ST.",1996,"Mission",9
"1023","2552 TAYLOR ST",1986,"North Beach",3
"1024","1100 POLK ST",1917,"Nob Hill",3
"1025","2000 FOLSOM ST",0,"Mission",9
"1026","2015 STEINER ST",1907,"Pacific Heights",2
"1027","999 BRANNAN ST",1986,"South of Market",6
"1028","255 7TH ST",NA,"South of Market",6
"1029","2350 NORIEGA ST",1986,"Sunset/Parkside",4
"1030","403 MAIN ST",NA,"Financial District/South Beach",6
"1031","231 SANSOME ST",1925,"Financial District/South Beach",3
