"","Building Address","Year Built","analysis_neighborhood","supervisor_district"
"123","5285 DIAMOND HEIGHTS BLVD",1972,"Noe Valley",8
"124","969 MARKET ST",1909,"South of Market",6
"125","638 19TH ST",2007,"Potrero Hill",10
"126","290 DIVISION ST",1924,"South of Market",6
"127","361 Turk St",2022,"Tenderloin",5
"128","100 POST ST",1909,"Financial District/South Beach",3
"129","150 GOLDEN GATE AVE",1912,"Tenderloin",5
"130","832 SANSOME ST",1912,"Financial District/South Beach",3
"131","550 TOWNSEND ST",1979,"South of Market",6
"132","1700 MONTGOMERY ST",1976,"North Beach",3
"133","3053 FILLMORE ST",1900,"Marina",2
"134","132 2ND ST",1907,"Financial District/South Beach",6
"135","378 GOLDEN GATE AVE",1911,"Tenderloin",5
"136","1155 Market St",NA,"South of Market",6
"137","2701 MISSION ST",1947,"Mission",9
"138","4141 GEARY BLVD",1969,"Inner Richmond",1
"139","617 BRYANT ST",1986,"South of Market",6
"140","140 CHESTNUT ST",1906,"North Beach",3
"141","54 MCALLISTER ST",1986,"Tenderloin",5
"142","750 OFARRELL ST",1913,"Tenderloin",5
"143","940 SUTTER ST",1925,"Nob Hill",3
"144","1333 PACIFIC AVE",1975,"Russian Hill",3
"145","2823 18th St",NA,"Mission",9
"146","950 TENNESSEE ST",1947,"Potrero Hill",10
"147","767 BRYANT ST",2002,"South of Market",6
"148","909 MONTGOMERY ST",1983,"North Beach",3
"149","120 8TH ST",1925,"South of Market",6
"150","342 GRANT AVE",1912,"Financial District/South Beach",3
"151","333 BRANNAN ST",1972,"Financial District/South Beach",6
"152","2460 ALAMEDA ST",2009,"Mission",9
"153","600 TOWNSEND ST",1989,"South of Market",6
"154","925 CORBETT AVE",1978,"Twin Peaks",8
"155","5825 MISSION ST",1989,"Excelsior",11
"156","400 BEALE ST",2002,"Financial District/South Beach",6
"157","690 CHESTNUT ST",1997,"North Beach",3
"158","75 DORE ST",2005,"South of Market",6
"159","1600 15TH ST",2013,"Mission",9
"160","5268 DIAMOND HEIGHTS BLVD",1964,"Glen Park",8
"161","440 ALABAMA ST",1946,"Mission",9
"162","101 MONTGOMERY ST",1984,"Financial District/South Beach",3
"163","100 Channel Street",2023,"Mission Bay",6
"164","2121 3RD ST",NA,"Potrero Hill",10
"165","2 NEW MONTGOMERY ST",1909,"Financial District/South Beach",6
"166","888 7TH ST",2007,"Mission Bay",6
"167","460 TOWNSEND ST",1915,"Mission Bay",6
"168","301 KING ST",NA,"Mission Bay",6
"169","901 Fairfax Ave",NA,"Bayview Hunters Point",10
"170","999 California St",1926,"Nob Hill",3
"171","600 CHESTNUT ST",1995,"North Beach",3
"172","2340 STOCKTON ST",1970,"North Beach",3
"173","1500 POLK ST",1970,"Nob Hill",3
"174","211 MAIN ST",1973,"Financial District/South Beach",6
"175","398 KANSAS ST",1912,"Mission Bay",10
"176","1150 OCEAN AVE",2012,"West of Twin Peaks",7
"177","270 Brannan Street",2017,"Financial District/South Beach",6
"178","765 MARKET ST",2001,"Financial District/South Beach",6
"179","2340 CHESTNUT ST",1937,"Marina",2
"180","2195 FULTON ST",2000,"Lone Mountain/USF",1
"181","431 SUTTER ST",1909,"Financial District/South Beach",3
"182","50 FRANCISCO ST",1976,"North Beach",3
"183","2720 TAYLOR ST",1974,"North Beach",3
"184","1800 BRYANT ST",2000,"Mission",9
"185","1680 EVANS AVE",1948,"Bayview Hunters Point",10
"186","1850 MISSION ST",1946,"Mission",9
"187","255 King St",2003,"Mission Bay",6
"188","275 BATTERY ST",1989,"Financial District/South Beach",3
"189","157 BLUXOME ST",1916,"Mission Bay",6
"190","181 3RD ST",1999,"Financial District/South Beach",6
"191","26 PIER",1900,"Financial District/South Beach",6
"192","2043 19TH AVE",1968,"Sunset/Parkside",4
"193","4150 17TH ST",1994,"Castro/Upper Market",8
"194","550 CALIFORNIA ST",1960,"Financial District/South Beach",3
"195","1155 BATTERY ST",1982,"Financial District/South Beach",3
"196","1 Thomas More Way",NA,"Lakeshore",7
"197","1055 FILLMORE ST",1984,"Western Addition",5
"198","1115 MARKET ST",1920,"South of Market",6
"199","366 CLEMENTINA ST",1949,"South of Market",6
"200","417 STOCKTON ST",1907,"Financial District/South Beach",3
"201","950 BATTERY ST",1932,"Financial District/South Beach",3
"202","1400 GRANT AVE",1907,"North Beach",3
"203","1337 SUTTER ST",1910,"Western Addition",2
"204","630 TREAT AVE",1920,"Mission",9
"205","900 NORTH POINT ST.",0,"Russian Hill",2
"206","1201 4TH ST",2009,"Mission Bay",6
"207","815 EDDY ST",1986,"Western Addition",2
"208","1940 LOMBARD ST",1980,"Marina",2
"209","400 SUTTER ST",1907,"Financial District/South Beach",3
"210","332 PINE ST",1912,"Financial District/South Beach",3
"211","531 ARBALLO DR",1942,"Lakeshore",7
"212","74 NEW MONTGOMERY ST",1907,"Financial District/South Beach",6
"213","219 BRANNAN ST",2000,"Financial District/South Beach",6
"214","1501 CUSTER AVE",1964,"Bayview Hunters Point",10
"215","170 O'FARRELL ST",1946,"Financial District/South Beach",3
"216","859 OFARRELL ST",1907,"Tenderloin",5
"217","2030 VALLEJO ST",1966,"Marina",2
"218","401 MASON ST",1916,"Tenderloin",3
"219","461 BUSH ST",1907,"Financial District/South Beach",3
"220","75 FOLSOM ST",1991,"Financial District/South Beach",6
"221","250 10TH ST",2020,"South of Market",6
"222","1075 SUTTER ST",1924,"Nob Hill",3
"223","2065 OAKDALE AVE",1964,"Bayview Hunters Point",10
"224","895 OFARRELL ST",1924,"Tenderloin",5
"225","1201 INGALLS ST",1976,"Bayview Hunters Point",10
"226","360 18TH AVE",1935,"Outer Richmond",1
"227","1015 FOLSOM ST",1932,"South of Market",6
"228","65 BATTERY ST",1918,"Financial District/South Beach",3
"229","200 JENNINGS ST",1982,"Bayview Hunters Point",10
"230","2295 TAYLOR ST",1919,"Russian Hill",3
"231","530 CHESTNUT ST",2001,"North Beach",3
"232","111 PINE ST",1963,"Financial District/South Beach",3
"233","425 CALIFORNIA ST",1968,"Financial District/South Beach",3
"234","355 OCEAN AVE",1968,"Outer Mission",11
"235","3175 17TH ST",1926,"Mission",9
"236","785 MARKET ST",1907,"Financial District/South Beach",6
"237","816 WASHINGTON ST",1907,"Chinatown",3
"238","1355 SUTTER ST",1975,"Western Addition",2
"239","827 HYDE ST",1907,"Nob Hill",3
"240","4645 Mission St",1922,"Excelsior",11
"241","218 STOCKTON ST",1908,"Financial District/South Beach",3
"242","355 SUTTER ST",1910,"Financial District/South Beach",3
"243","85 West Portal Ave.",1925,"West of Twin Peaks",7
"244","429 CASTRO ST",1922,"Castro/Upper Market",8
"245","300 PINE ST",1909,"Financial District/South Beach",3
"246","420 BERRY ST",2007,"Mission Bay",6
"247","1195 INGALLS ST",1996,"Bayview Hunters Point",10
"248","133 SHIPLEY ST",1973,"South of Market",6
"249","433 CALIFORNIA ST",1913,"Financial District/South Beach",3
"250","500 ALEMANY BLVD",NA,"Bernal Heights",9
"251","2075 FOLSOM ST",1969,"Mission",9
"252","88 TOWNSEND ST",2004,"Financial District/South Beach",6
"253","1555 Union St",1955,"Marina",2
"254","350 FRIEDELL ST",NA,"Bayview Hunters Point",10
"255","88 Broadway",NA,"Financial District/South Beach",3
"256","5235 DIAMOND HEIGHTS BLVD",1972,"Noe Valley",8
"257","2 GARCES DR",1942,"Lakeshore",7
"258","350 RHODE ISLAND - NORTH",2002,"Mission Bay",10
"259","333 Harrison ST",NA,"Financial District/South Beach",6
"260","1960 FOLSOM ST",1937,"Mission",9
