Street Address	Business Start Date	Location Start Date	DBA Name
4023 18th St	2019-08-27	2019-08-27	Qualitea
323 Sweeny St	2019-03-06	2019-03-06	Tart Mama
900 North Point Street B201a	2019-01-04	2019-01-04	Palette Tea House
5209 Victor Ave	2018-10-14	2018-10-14	Superstar Delivery
393 Eddy St	2018-02-01	2018-02-05	Chiken Broaster
335 Kearny St	2017-12-15	2017-12-15	Foundation Spirits
300 De Haro St Ste 342	2016-05-01	2016-05-01	Sfcoremeals
6390 N. Duncan Rd	2018-08-21	2018-08-21	Los Compas Catering
2301 Fillmore St	2017-03-30	2017-03-30	The Snug
2173 California St Apt 102	2019-02-18	2019-02-18	California Flour
1581 Webster St 270	2019-01-01	2019-01-04	Izumiya Restaurant
25 Mason St	2018-04-09	2018-04-09	Isla Vida
2 Townsend St Bldg #1 #106	2018-03-01	2018-03-01	Foodsource Dist
2633 23rd St	2016-04-25	2016-04-25	Fresh Start #1
1206 Masonic Ave	2019-12-23	2019-12-23	Coffee To The People`
545 Point Lobos Ave	2019-05-15	2024-09-27	Seal Rock
1310 Grant Ave	2019-10-18	2019-10-18	Yarsa Nepalese Cuisine
151 3rd St	2016-02-10	2016-02-10	In Situ
3053 Fillmore St 328	2019-02-23	2019-02-23	Heritage Roots Farms LLC
1080 San Mateo Ave	2016-03-11	2017-01-23	Jackson Catering & Events
1301 Mission St	2016-03-16	2016-03-16	Coffee Cultures Soma
261 Alta Mesa Drive	2017-08-07	2017-08-07	Dosa Allee
393 Eddy St	2018-02-05	2018-02-05	Chicken Broaster Express
1 Avenue Of The Palms Ave Ste 21	2016-05-24	2016-05-24	Tammy's Chicken In Waffles
3149 22nd St	2018-05-22	2018-05-22	El Trebol Sports Bar
1 Mobile Caterers	2019-06-26	2019-08-21	Vessel Ca Operations #4
1563 D Street Apt 10	2016-05-31	2016-05-31	Halal Cart SF
165 Cypress St	2017-07-31	2017-07-31	Somos Coffee LLC
240 S Wildwood	2019-01-18	2019-01-18	Sfstreetfood
398 12th Street	2020-01-01	2020-01-01	Sf Eagle
235 Montgomery Street	2016-12-19	2017-05-17	Joe & The Juice
865 Market St	2017-08-01	2017-08-01	Frujuice
22 Peace Plz Unit 533	2018-08-17	2018-08-17	Tasty Delight
101 Montgomery Street St Ste 100c	2018-10-08	2018-10-08	Coffee Bar
1384 11th Ave	2018-07-24	2018-07-24	Mission Blue
1621 Polk St	2019-04-15	2024-10-01	Bob's Donuts & Pastries
2948 Folsom St	2017-07-18	2017-07-18	Mermaid Poke
2 Marina Blvd	2016-01-22	2023-03-01	The Waffle Roost #2
325 Demeter St	2019-08-01	2019-08-01	Catered Too
2172 Market St	2017-08-16	2017-08-16	Wooden Spoon
2109 Clement St	2019-01-01	2019-01-01	Pho Lien Phat Vietnamese Restaurant
3153 17th St	2018-11-07	2018-11-07	Robins Cafe LLC
121 Spear St	2018-06-11	2018-06-15	Guckenheimer @ Google - Rincon Coffee Bar
1293 18th Ave	2019-06-08	2019-06-08	Poppy Bagels
3324 Steiner St	2018-05-14	2018-05-14	Isa
35 Kearny St	2019-07-09	2021-02-01	Katsu Kitchen
704 Valencia Street	2018-08-16	2018-08-16	Flour + Water Pizzeria
311 California St	2019-03-15	2019-03-20	Bamboo Asia
2841 Gough St	2017-01-22	2017-01-22	Happy Vegan Cakes
2155 Bayshore Blvd	2016-03-03	2019-01-21	Piccolo Petes Cafe
1 Warriors Way	2019-06-10	2019-08-12	Sweet Belly
231 Beacon St	2018-08-01	2018-08-01	Spark Coffee
1701 Yosemite Ave	2018-08-01	2018-08-01	Cafe Envy
684 King St	2017-07-06	2017-07-06	I'a Poke
1581 Webster St #150	2017-05-01	2019-06-28	Jina Bakes
2241 Geary Blvd	2017-12-16	2017-12-16	Binka Bites
1063 Market St	2017-12-06	2017-12-07	Raavi Indian Nepalese
344 Tully Rd	2019-01-04	2019-01-04	Sarah's Latin Taste
Apt 01 St 1	2019-08-20	2019-08-20	5 Friends Pizza
328 West Portal Ave	2016-01-05	2016-01-05	The Dubliner West Portal
103 Horne Ave	2019-06-10	2020-01-21	Aroy Thai
1115 Clement St	2017-03-23	2017-05-16	Mr Spicy Seafood
3859 24th St	2018-10-25	2019-05-09	Billingsgate
3154 Fillmore St	2018-05-01	2018-05-01	Cow Marlowe Sf LLC
4101 3rd St	2017-08-14	2018-03-01	Boug Creole Deli
1740 Cesar Chavez Street Unit 2w	2019-06-26	2019-07-03	Reef Kitchens; Fork & Ladle
1370 N St Andrews Pl	2019-05-21	2022-05-05	Mise En Place
825 Minnesota St Apt 7	2018-07-01	2018-07-01	Crepe Em Coming
201 Steiner St	2017-06-27	2017-08-29	Cafe Reveille
1595 Noe St Apt 4	2016-04-07	2016-04-07	Suecooks Mustard
1350 Church St	2016-07-22	2016-07-22	Lovejoy's Tea Room
2545 24th St	2016-11-17	2017-09-11	Junior
777 Valencia St	2019-01-01	2019-01-01	Sf Chapel
402 Balboa St	2018-10-08	2018-10-08	Usagi
111 Lilienthal Ave	2019-05-21	2023-10-01	Mise En Place
133 N 6th Street St	2018-10-09	2018-10-09	Falafelland
280 Valencia St	2018-03-08	2018-03-08	Dancing Yak Inc.
2870 Kaiser Dr #408	2016-10-06	2017-04-01	Korean Bobcha
2351 Mission St	2019-07-01	2019-07-05	Casement's
2948 Folsom St	2017-07-21	2017-07-21	Noodle Girl LLC
708 Polk St	2017-12-18	2017-12-18	Nokturnal
1700 O'farrell St	2019-07-15	2019-10-16	Delightful Foods
667 Monterey Blvd	2018-11-07	2018-11-07	World Of Noodle 1
2 Marina Blvd	2019-06-10	2020-08-20	Aroy Thai
380 Bush St Ste 1	2016-08-31	2022-06-23	Tacos Yucatown
205 Franklin St	2017-02-09	2017-02-09	B-Side
4134 Geary Blvd	2016-12-26	2016-12-26	Overtime
141 Bertita St	2018-03-30	2018-03-30	Gregory Ayers Foods
120 Montgomery St	2016-09-26	2017-05-12	Iku Sushi
32 Agua Way	2016-04-11	2016-04-11	Boba Party
3170 16th St	2017-08-30	2017-12-14	Big Lantern
101 Hyde St	2016-08-19	2020-02-03	Mi Morena LLC
139 Lucca Dr	2017-06-19	2017-06-19	Pi Wings
2031  Powell St	2016-03-02	2016-03-02	Tia Ampa
614 Polk Street	2018-03-01	2018-03-01	R Caffe
1838 Union St	2018-06-01	2018-06-01	Kaiyo Restaurant & Bar
1545 Fillmore St	2017-08-09	2021-02-01	Kitchen Woori
1507 Humboldt Ave Apt 4	2016-06-29	2016-06-29	Uber
1379 4th St	2019-09-25	2019-11-05	Crepe Hearts
900 Stanyan St	2019-09-28	2019-09-29	Creola
24 Willie Mays Pl Upper Center Field Sec 142	2018-03-09	2018-04-11	95253 C & C Concessions/Portable 142 Lemonade Stand
4054 24th St	2016-01-13	2022-08-18	Cole Valley Tavern
692 Sutter St	2016-07-05	2016-07-05	L'ottavo Ristorante
1 Mobile Caterers	2019-06-26	2019-07-18	Vessel Ca Operations LLC
40 Belden Pl	2017-01-03	2019-11-01	Pushkin
1427 Noriega St	2018-04-01	2018-04-01	Thai Nghiep Ky Mi Gia Restaurant
330 Gough St	2016-04-28	2016-04-28	Nightbird
680 Clay St	2016-07-01	2018-07-01	Hinodeya Ramen Bar Financial
55 Cyril Magnin St	2018-11-15	2019-01-09	Barbary Coast Pastry And Coffee
3527 Mt Diablo Blvd	2018-06-04	2018-06-04	Paramount Superstars, Inc.
613 York St	2019-08-30	2019-08-30	Private Chef Club
2301 Mission St	2018-11-30	2018-12-05	Cafe De Olla.SF
50 Phelan Ave	2017-12-11	2017-12-11	City Cafe
1100 Market Street	2017-09-01	2017-09-01	Charmaine's
333 O'farrell St	2017-01-02	2017-01-02	Urban Tavern
145 Jefferson St Ste 200	2017-01-08	2017-01-08	Mcdonald's
3251 20th Ave 250b	2019-03-04	2019-03-04	Gangnam Bbq
1799 Church St	2019-01-01	2019-01-01	Cafe Xo
1760 Cesar Chavez Ste L	2019-03-27	2020-04-21	Macho Tacos
680 Clay St	2016-07-01	2019-06-11	Hinodeya Ramen Bar Downtown
1522 6th St Unit A	2016-05-01	2016-05-01	Doughnut Dolly
4384 Mission St	2018-05-18	2018-05-18	Tacos El Faraon
532 Jessie St	2017-06-01	2017-06-01	Souvla Catering
3251 20th Ave	2017-08-31	2017-08-31	Stonestown Farmers Market
2018 Lombard St	2020-01-01	2020-01-01	Alegrias SF
1221 Fell St	2019-04-22	2019-04-22	Hahdough LLC
522 25th Ave Apt 4	2016-10-27	2020-02-12	Ojala
150 Waverly Pl	2016-11-18	2016-11-18	The Spicy Shrimp
988 El Camino Real Ste 2	2016-06-01	2024-01-31	Starbird Chicken
6001 California St	2016-04-30	2016-04-30	Firehouse Pizzeria
1629 Florida St	2017-07-03	2017-07-03	Mumsa, LLC
475 6th St	2016-06-01	2019-04-07	Starbird
335 Kearny St	2017-12-15	2017-12-15	Foundation Cafe
298 Pacific	2016-12-13	2016-12-13	Old Ship
1954 Union St	2016-01-06	2018-01-01	The Caviar Collection
199 New Montgomery St Ste A	2019-08-01	2019-08-01	Medleno Coffee
2428 Clement St	2019-04-01	2019-04-01	8090 Friendship Restaurant
517 Hayes St	2016-03-30	2016-03-30	Souvla
870 Market St	2019-02-06	2019-02-06	Frutymania
251 11th St	2019-02-26	2019-02-26	Nancy's Catering
101 Hyde St	2018-05-18	2024-04-18	Pass The Sauced, LLC
1 United Nations Plz	2019-07-15	2021-11-01	Delightful Foods
2325 Pine St	2018-12-10	2018-12-10	Loving Cup Union
176 2nd St	2019-09-06	2020-01-15	Sam Choy's Poke To The Max
250 King St Unit 722	2016-03-29	2016-03-29	Neem
