Parcel Number	Building Name	Building Address	Postal Code	Floor Area	Property Type - Self Selected	PIM Link	Year Built	Energy Audit Due Date	Energy Audit Status	point	longitude	latitude	analysis_neighborhood	supervisor_district	data_as_of	data_loaded_at
5260/019	701 PHELPS ST	701 PHELPS ST	94124	19578	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=5260/019	1954	04/01/2014	Did Not Comply	POINT (-122.390065683 37.7407596)	-122.39006568343649	37.74075960010381	Bayview Hunters Point	10	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3702/053	1167 MARKET ST	1177 MARKET ST	94103	332221	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=3702/053	2020			POINT (-122.413569711 37.779095868)	-122.41356971126264	37.77909586807758	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3785/005	466 Townsend, LLC	472 TOWNSEND ST	94107	115000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3785/005	1920	04/01/2025	Upcoming	POINT (-122.399270336 37.774133932)	-122.39927033601865	37.77413393248843	Mission Bay	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0671/002	1301 Van Ness	1301 VAN NESS AVE	94109	43125	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0671/002	1912	04/01/2029	Upcoming	POINT (-122.422309095 37.787740652)	-122.42230909487509	37.78774065234799	Western Addition	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0612/019	2318 FILLMORE	2318 Fillmore St.	94115	44000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0612/019	1986	04/01/2027	Upcoming	POINT (-122.433910402 37.791184893)	-122.43391040180057	37.79118489271433	Pacific Heights	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3774/031	577 2ND ST	577 2ND ST	94107	30480	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3774/031	1923	04/01/2021	Pending - Contracted	POINT (-122.392142601 37.782263104)	-122.39214260093149	37.78226310407922	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
5235/003	3830 3RD ST	3830 3RD ST	94124	27500	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=5235/003	1985	04/01/2025	Upcoming	POINT (-122.388515602 37.742363303)	-122.3885156024512	37.742363302577324	Bayview Hunters Point	10	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
6635/018	Walgreens #1054	3398 Mission St	94110	10976	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=6635/018	1917	04/01/2024	Did Not Comply	POINT (-122.422191444 37.742562126)	-122.42219144352278	37.742562125679996	Bernal Heights	9	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3749/503	Rene Cazenave Apts	25 ESSEX ST	94105	74635	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=3749/503	2013			POINT (-122.3951319 37.786393828)	-122.39513190039483	37.78639382753305	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0717/004	Marathon Hotel	706 ELLIS ST	94109	51034	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0717/004	1908			POINT (-122.418030313 37.784384976)	-122.41803031319603	37.784384976035064	Tenderloin	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
