Parcel Number	Building Name	Building Address	Postal Code	Floor Area	Property Type - Self Selected	PIM Link	Year Built	Energy Audit Due Date	Energy Audit Status	point	longitude	latitude	analysis_neighborhood	supervisor_district	data_as_of	data_loaded_at
0242/056	601 GRANT AVE	601 GRANT AVE	94108	19108	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0242/056	1907	04/01/2025	Upcoming	POINT (-122.406189244 37.792613988)	-122.40618924395069	37.792613988390876	Chinatown	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3732/272	MOSSO SF	270 5TH ST	94103	243288	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=3732/272	2012			POINT (-122.40421481 37.780081582)	-122.40421481012045	37.78008158155197	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
1215/016	425 Divisadero	1100 OAK ST	94117	30044	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=1215/016	1983	04/01/2029	Upcoming	POINT (-122.437875227 37.773364067)	-122.43787522670596	37.77336406650154	Hayes Valley	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0164/002	847 Sansome	847 SANSOME ST	94133	20784	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0164/002	1983	04/01/2021	Complied	POINT (-122.402520843 37.798017871)	-122.40252084323328	37.79801787140276	North Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
7111/027	Pacific Supermarket	2900 ALEMANY BLVD	94112	36000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=7111/027	1961	04/01/2019	Did Not Comply	POINT (-122.452821712 37.711898859)	-122.45282171224494	37.71189885857997	Outer Mission	11	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0676/072	1800 SUTTER ST	1800 SUTTER ST	94115	71780	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0676/072	1975	04/01/2030	Upcoming	POINT (-122.430324992 37.786793902)	-122.43032499241407	37.78679390166906	Pacific Heights	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0231/023	Two Embarcadero Center	2 EMBARCADERO CENTER	94111	1124443	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0231/023	1974	04/01/2026	Upcoming	POINT (-122.398472752 37.794798594)	-122.39847275212165	37.79479859374943	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0265/003	388 Market Street	388 Market Street	94111	479813	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0265/003	1987			POINT (-122.398166734 37.792217425)	-122.39816673392006	37.792217425474554	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0318/023	Geary Courtyard	639 GEARY ST	94102	148168	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0318/023				POINT (-122.413650555 37.786382807)	-122.41365055506121	37.78638280733933	Tenderloin	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3728/048	Storek	149 9TH ST	94103	34149	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3728/048	1923	04/01/2024	Did Not Comply	POINT (-122.413628114 37.775719954)	-122.41362811359123	37.775719953888164	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0309/011	212 Stockton Street	212 STOCKTON ST	94108	44500	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0309/011	1987	04/01/2021	Did Not Comply	POINT (-122.406351454 37.787775994)	-122.40635145368256	37.78777599352511	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3703/062	1073 MARKET ST	1073 MARKET ST	94103	57815	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=3703/062	1913			POINT (-122.411615202 37.780644216)	-122.41161520207093	37.780644215582264	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0239/030	343 Sansome	343 SANSOME ST	94104	320421	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0239/030	1991	04/01/2026	Upcoming	POINT (-122.401722857 37.793691571)	-122.40172285672742	37.79369157122899	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
1107/004	281 Masonic	281 Masonic Ave	94118	27759	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=1107/004	1911	04/01/2023	Did Not Comply	POINT (-122.447480256 37.77905207)	-122.447480255906	37.779052070232595	Lone Mountain/USF	1	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0267/009	The Heineman Building (130 Bush St)	130 BUSH ST	94104	14100	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0267/009	1910	04/01/2024	Did Not Comply	POINT (-122.400165258 37.791455486)	-122.40016525800984	37.7914554858515	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3703/061	Aida Hotel	1083 MARKET ST	94103	61674	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3703/061	1912	04/01/2025	Upcoming	POINT (-122.411768283 37.780522981)	-122.41176828320884	37.78052298075068	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
1228/005	690 Stanyan	1878 HAIGHT ST.	94117	21906	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=1228/005	1961	04/01/2025	Upcoming	POINT (-122.452850015 37.769554408)	-122.45285001519599	37.76955440823466	Haight Ashbury	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3757/113	1219 HARRISON ST	1219 HARRISON ST	94103	71755	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=3757/113	2004			POINT (-122.408673699 37.77310311)	-122.40867369926109	37.77310310993513	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
8708/009	255 BERRY ST	255 BERRY ST	94107	255871	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=8708/009	2004			POINT (-122.39474348 37.774186448)	-122.39474347996753	37.77418644797146	Mission Bay	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3732/124	201 06TH ST	201 6TH ST	94103	61560	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=3732/124	1907			POINT (-122.40679621 37.779707149)	-122.40679620993521	37.77970714889445	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0195/021	848 Kearny Street	848 Kearny St	94111	67217	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=0195/021	2005			POINT (-122.404766505 37.795947748)	-122.40476650453346	37.79594774755624	Chinatown	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0296/008	442 POST ST	442 POST ST	94102	25600	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0296/008	1925	04/01/2024	Did Not Comply	POINT (-122.409172576 37.788482024)	-122.40917257598358	37.78848202357572	Nob Hill	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0270/007	410-Stephens Institute	410 BUSH ST	94108	43557	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0270/007	1915	04/01/2025	Upcoming	POINT (-122.404546921 37.791169929)	-122.40454692129322	37.79116992855395	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
7102/025	2850 ALEMANY BLVD	2850 ALEMANY BLVD	94112	23100	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=7102/025	0	04/01/2022	Did Not Comply	POINT (-122.451621215 37.712857587)	-122.45162121513093	37.71285758683439	Outer Mission	11	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0294/013	Taj Campton Place Hotel	340 STOCKTON ST	94108	94000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0294/013	1984	04/01/2024	Did Not Comply	POINT (-122.40657169 37.789157225)	-122.40657169022566	37.78915722521273	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0310/005	12 Geary St. Building	10 GEARY ST	94108	19260	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0310/005	1907	04/01/2024	Pending - Contracted	POINT (-122.4037439 37.788125336)	-122.40374389999195	37.78812533637628	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
5240/043	1355 FAIRFAX AVE	1355 FAIRFAX AVE	94124	14000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=5240/043	1987	04/01/2013	Did Not Comply	POINT (-122.38390974 37.739154593)	-122.38390973980064	37.73915459281479	Bayview Hunters Point	10	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0309/006	140 Geary Street	132 GEARY ST	94108	45775	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0309/006	1908	04/01/2021	Did Not Comply	POINT (-122.405743641 37.787937087)	-122.40574364094793	37.78793708673682	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0717/018	790 ELLIS ST	790 ELLIS ST	94109	19487	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0717/018	0	04/01/2020	Did Not Comply	POINT (-122.418952022 37.784351143)	-122.41895202157068	37.78435114258776	Tenderloin	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3776/005	550 THIRD STREET	550 3RD ST	94107	19954	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3776/005	1921	04/01/2026	Upcoming	POINT (-122.395318557 37.780438032)	-122.39531855719522	37.78043803219581	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
6959/035	4840 MISSION ST	4840 MISSION ST	94112	35000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=6959/035	1925	04/01/2020	Did Not Comply	POINT (-122.438633435 37.720517929)	-122.43863343480344	37.720517929002135	Outer Mission	11	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0166/008	750 Battery St. Building	750 BATTERY ST	94111	124372	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0166/008	1986	04/01/2025	Upcoming	POINT (-122.400636402 37.798326436)	-122.40063640182203	37.798326435510965	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3639/004B	3050 23rd Street	3050 23RD ST	94110	17000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3639/004B	1964	04/01/2021	Did Not Comply	POINT (-122.412855362 37.754476449)	-122.4128553624507	37.75447644921537	Mission	9	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
7381/113	139 LAKE MERCED BLVD	139 LAKE MERCED BLVD	94132	51415	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=7381/113	1975			POINT (-122.483253828 37.708587133)	-122.4832538283685	37.708587133443096	Lakeshore	7	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3709/011	455 Market	455 MARKET ST	94105	432945	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3709/011	1900	04/01/2026	Upcoming	POINT (-122.398239632 37.790725987)	-122.39823963184053	37.79072598741868	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3521/027	1585 FOLSOM ST	1585 FOLSOM ST	94103	16800	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3521/027	1926	04/01/2021	Did Not Comply	POINT (-122.414598906 37.770955962)	-122.41459890568211	37.77095596231825	Mission	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3714/019	1 Hotel	8 MISSION ST	94105	145160	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3714/019	2004	04/01/2030	Upcoming	POINT (-122.39331975 37.793765809)	-122.39331974976658	37.79376580940998	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3529/050	Rainbow Grocery	1745 FOLSOM ST	94103	42675	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3529/050	1942	04/01/2030	Upcoming	POINT (-122.415058157 37.769109107)	-122.41505815682949	37.76910910738409	Mission	9	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
8705/011	CA800_Avalon Mission Bay II	301 KING ST	94107	345686	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=8705/011	2006			POINT (-122.394228317 37.775518813)	-122.39422831687098	37.77551881269145	Mission Bay	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3994/084	The Martin - Greystar	2051 3rd Street	94107	107075	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=3994/084	2017			POINT (-122.388305886 37.763734693)	-122.38830588599461	37.7637346928438	Potrero Hill	10	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3736/096	215 Second Street	205 2ND ST	94105	15500	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3736/096	1906	04/01/2024	Did Not Comply	POINT (-122.397740799 37.786696934)	-122.39774079942144	37.786696933791255	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
8720/018	325 CHINA BASIN ST	325 CHINA BASIN ST	94107	60000	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=8720/018	2008			POINT (-122.387453385 37.771662095)	-122.38745338502484	37.77166209511012	Mission Bay	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
8709/018	ARE San Francisco No. 36	1500 OWENS ST	94158	167930	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=8709/018	2009	04/01/2024	Pending - Contracted	POINT (-122.395769308 37.768840556)	-122.39576930823766	37.7688405560192	Mission Bay	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0669/001	1333 Bush St	1333 Bush St	94109	69280	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=0669/001				POINT (-122.419000654 37.788594016)	-122.41900065444882	37.78859401647849	Nob Hill	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0271/027	530 Bush	530 BUSH ST	94108	119679	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0271/027	1982	04/01/2027	Upcoming	POINT (-122.406123777 37.790764162)	-122.40612377679028	37.79076416178897	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0176/011	Columbus Tower	900 KEARNY ST	94133	35730	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0176/011	1989	04/01/2026	Upcoming	POINT (-122.404909259 37.796391029)	-122.4049092591036	37.796391028874034	Chinatown	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0228/018	529 COMMERCIAL ST	529 COMMERCIAL ST	94111	11000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0228/018	0	04/01/2024	Did Not Comply	POINT (-122.401941388 37.794223427)	-122.40194138828444	37.79422342743623	Chinatown	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
7318/001	400 FONT BLVD	400 FONT BLVD	94132	90220	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=7318/001	1942			POINT (-122.478665691 37.719490869)	-122.47866569083538	37.719490868573466	Lakeshore	7	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
5431A/041	Waterbend	5880 3rd Street	94124	255094	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=5431A/041				POINT (-122.396041977 37.724970135)	-122.39604197681764	37.724970134720834	Bayview Hunters Point	10	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0328/001	760 Market Street (The Phelan Building)	750 MARKET ST	94108	298124	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0328/001	1908	04/01/2030	Upcoming	POINT (-122.405545708 37.786459052)	-122.40554570834315	37.78645905154411	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0355/004	1230 MARKET ST	1230 MARKET ST	94102	12846	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0355/004	1907	04/01/2022	Did Not Comply	POINT (-122.415608008 37.778524048)	-122.41560800752693	37.77852404796389	Tenderloin	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3727/199	Canon Barcus Community House	670 Natoma St	94103	92009	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=3727/199	2002			POINT (-122.411888913 37.777140098)	-122.41188891258315	37.77714009791774	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0572/017	2120 Polk	2120 Polk St	94109	19118	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0572/017	1928	04/01/2028	Upcoming	POINT (-122.421509631 37.796371956)	-122.42150963116411	37.796371956489956	Russian Hill	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3757/046	455 9TH ST	455 9TH ST	94103	14000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3757/046	1924	04/01/2027	Upcoming	POINT (-122.409005562 37.772006456)	-122.40900556182265	37.772006456269885	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
5431A/042	Dr. George W Davis Senior Housing	1751 CARROLL AVE	94124	156042	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=5431A/042				POINT (-122.39585488 37.725618956)	-122.39585488001916	37.72561895646939	Bayview Hunters Point	10	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
8706/012-B	CA067_Building T1	255 King St	94107	183901	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=8706/012-B				POINT (-122.393023904 37.776465618)	-122.39302390381343	37.77646561786644	Mission Bay	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0647/001	1595 Van Ness	1595 VAN NESS AVE	94109	35700	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0647/001	1913	04/01/2026	Upcoming	POINT (-122.422731799 37.79011682)	-122.42273179875107	37.79011681998895	Western Addition	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0261/017-A	345 CALIFORNIA ST	345 CALIFORNIA ST	94104	814226	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0261/017-A	1987	04/01/2026	Upcoming	POINT (-122.400438864 37.792602351)	-122.40043886370403	37.792602350909085	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
4025/003B	690 POTRERO AVE	690 POTRERO AVE	94110	14000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=4025/003B	1932	04/01/2026	Upcoming	POINT (-122.407429833 37.760866964)	-122.40742983290662	37.76086696435786	Mission	9	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3775/016	350 Brannan Street	350 BRANNAN ST	94107	17195	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3775/016	1929	04/01/2029	Upcoming	POINT (-122.393527609 37.781021046)	-122.39352760894208	37.781021046024335	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0716/012	888 O'FARRELL ST	888 O'FARRELL ST	94109	282936	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0716/012	1988			POINT (-122.419013295 37.785296189)	-122.41901329457858	37.785296188537814	Tenderloin	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0499/002D	1340 LOMBARD ST	1340 LOMBARD ST	94109	99441	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0499/002D	1927			POINT (-122.423729892 37.801763)	-122.42372989223401	37.80176300031551	Russian Hill	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3577/004	666 VALENCIA ST	666 VALENCIA ST	94110	55000	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=3577/004				POINT (-122.422002319 37.762233077)	-122.42200231903607	37.762233077060515	Mission	9	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0241/011	660 CALIFORNIA ST	660 CALIFORNIA ST	94108	13277	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0241/011	1966	04/01/2014	Did Not Comply	POINT (-122.405512021 37.792697054)	-122.4055120213813	37.79269705378554	Chinatown	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0023/005	Hotel CaZA	1300 COLUMBUS AVE	94133	249352	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0023/005	1970	04/01/2020	Did Not Comply	POINT (-122.418070876 37.806433976)	-122.41807087608245	37.806433976269375	North Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0108/007	Interland - 1160 Battery Street	1160 BATTERY ST	94111	228617	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0108/007	1982	04/01/2026	Upcoming	POINT (-122.401119611 37.801916283)	-122.40111961059337	37.80191628321767	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
4288/003	Yellow Cab Co-op	1200 MISSISSIPPI ST	94107	156155	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=4288/003	1986	04/01/2021	Pending - Contracted	POINT (-122.394374215 37.751691051)	-122.39437421463298	37.751691050748626	Bayview Hunters Point	10	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3926/001	2600 16TH ST	2600 16TH ST	94103	33000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3926/001	2001	04/01/2022	Did Not Comply	POINT (-122.412750463 37.766244446)	-122.41275046283363	37.76624444572405	Mission	9	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3764/063	525 HARRISON ST	525 HARRISON ST	94105	16000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3764/063	1982	04/01/2021	Did Not Comply	POINT (-122.393359323 37.785367206)	-122.3933593230889	37.78536720635914	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3706/304	706 MISSION ST	706 MISSION ST	94103	694121	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=3706/304	1906			POINT (-122.403220039 37.785971011)	-122.40322003859777	37.78597101062517	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0306/199	441 MASON ST	501 POST STREET	94102	115722	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0306/199	1970	04/01/2029	Upcoming	POINT (-122.410370531 37.787825194)	-122.4103705311002	37.787825194333486	Tenderloin	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0211/002	925 STOCKTON ST	925 STOCKTON ST	94108	16327	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0211/002	1907	04/01/2025	Upcoming	POINT (-122.408254007 37.794370516)	-122.40825400696235	37.79437051623107	Chinatown	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0339/019	Curran	141 TAYLOR ST	94102	83690	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0339/019	2005			POINT (-122.411224517 37.783695544)	-122.41122451662036	37.783695544335814	Tenderloin	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0256/002	645 STOCKTON ST	645 STOCKTON ST	94108	58129	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0256/002	1928			POINT (-122.407801345 37.791810317)	-122.40780134517344	37.791810316507615	Nob Hill	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3763/007	490 2ND ST	490 2ND ST	94107	39318	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3763/007	1924	04/01/2024	Did Not Comply	POINT (-122.394066599 37.783046112)	-122.39406659852553	37.78304611240102	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0025/021	737 BEACH ST	737 BEACH ST	94109	10450	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0025/021	1948	04/01/2024	Pending - Contracted	POINT (-122.421061242 37.806303249)	-122.421061241581	37.80630324858695	Russian Hill	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0307/007	Hotel Frank	386 GEARY ST	94102	83500	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0307/007	1909	04/01/2020	Did Not Comply	POINT (-122.409632087 37.787368899)	-122.40963208679386	37.78736889922633	Tenderloin	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3733/171	WOOLF HOUSE I & II	801 HOWARD ST	94103	143575	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=3733/171	1970			POINT (-122.402606774 37.782745364)	-122.4026067743512	37.78274536407865	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
1091/032	2835 GEARY BLVD	2835 GEARY BLVD	94118	24279	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=1091/032	1981	04/01/2027	Upcoming	POINT (-122.449416977 37.781824631)	-122.44941697734814	37.78182463118997	Lone Mountain/USF	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3708/098	536 Mission St	536 MISSION ST	94105	220800	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3708/098	0	04/01/2030	Upcoming	POINT (-122.398892959 37.789248922)	-122.39889295928872	37.78924892200706	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3722/014	145 NATOMA ST	145 NATOMA ST	94105	13000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3722/014	1971	04/01/2022	Did Not Comply	POINT (-122.399833086 37.786157557)	-122.39983308613199	37.78615755664012	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
8711/023	1101 04TH ST	1101 4TH ST	94107	452345	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=8711/023				POINT (-122.390668458 37.774074855)	-122.39066845798818	37.77407485491494	Mission Bay	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
1051/036	2300 Sutter	2300 SUTTER ST	94115	32700	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=1051/036	1965	04/01/2025	Upcoming	POINT (-122.438568755 37.785778037)	-122.43856875484464	37.7857780372705	Pacific Heights	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3788/013	180 Townsend Street	180 TOWNSEND ST	94107	40917	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3788/013	1900	04/01/2019	Did Not Comply	POINT (-122.39260615 37.779369193)	-122.39260615005381	37.77936919343152	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0267/001	Silver Creek - 221 Pine St	99 BATTERY ST	94104	26808	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0267/001	1908	04/01/2030	Upcoming	POINT (-122.400014689 37.792065344)	-122.40001468925088	37.792065344004676	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3786/020	17 BLUXOME ST	17 BLUXOME ST	94107	10800	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3786/020	0	04/01/2026	Upcoming	POINT (-122.396007102 37.777124025)	-122.39600710223496	37.77712402497621	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
7521/002-C	Diamond Heights Shopping Center - Bldg A - Safeway	5290 DIAMOND HEIGHTS BLVD	94131	35853	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=7521/002-C	1964	04/01/2024	Pending - Contracted	POINT (-122.439174568 37.743743733)	-122.43917456770004	37.743743732856174	Glen Park	8	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3785/137	168 BLUXOME ST	168 BLUXOME ST	94107	83927	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=3785/137	2009			POINT (-122.399817404 37.774839197)	-122.39981740385046	37.77483919726248	Mission Bay	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
